Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,-0.606658685438604,-2.7919849749485666,0.0,0.0,0.0,90/153,19.75%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;PSMB10;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;PSMB8;RPL36;RPS9;PSME1;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;UBB;RPL23A;RPS4X;RPS6;PSMB9;RPL38;PSMF1;RPL23;PSME3;RPL18A;RPS15;RPL9;RPL11;RPLP2;PSME2;EIF4G1;RPS8;PSMD2;EIF4A3;RPS23;PSMB7;RPL28;RPL36A;RPL21;PSMB6;RPS7;PSMD13;UBC;RPL39L;PSMC3;CASC3;PSMB3;ELOB;RPL31;RPL36AL;RPL22L1;PSMB1;PSMD8;RPL34;RPL14;RNPS1
prerank,"Reactome_2022__mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",-0.7082137694640409,-2.7475104991519546,0.0,0.0,0.0,32/56,11.26%,RPS2;RPS29;RPS12;RPS3A;EIF3F;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPS14;RPS27;RPS15A;RPS28;RPS19;RPS16;RPS9;RPS25;FAU;RPS11;RPS5;RPS10;EIF3G;RPS4X;RPS6;RPS15;EIF4A1;EIF4G1;RPS8;RPS23;EIF3L
prerank,Reactome_2022__Ribosomal Scanning And Start Codon Recognition R-HSA-72702,-0.7116469626870635,-2.7409543739056788,0.0,0.0,0.0,32/55,11.26%,RPS2;RPS29;RPS12;RPS3A;EIF3F;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPS14;RPS27;RPS15A;RPS28;RPS19;RPS16;RPS9;RPS25;FAU;RPS11;RPS5;RPS10;EIF3G;RPS4X;RPS6;RPS15;EIF4A1;EIF4G1;RPS8;RPS23;EIF3L
prerank,Reactome_2022__Translation Initiation Complex Formation R-HSA-72649,-0.7089500268243177,-2.7344660713669633,0.0,0.0,0.0,32/55,11.26%,RPS2;RPS29;RPS12;RPS3A;EIF3F;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPS14;RPS27;RPS15A;RPS28;RPS19;RPS16;RPS9;RPS25;FAU;RPS11;RPS5;RPS10;EIF3G;RPS4X;RPS6;RPS15;EIF4A1;EIF4G1;RPS8;RPS23;EIF3L
prerank,"Reactome_2022__Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",-0.7340369956794707,-2.723205754996219,0.0,0.0,0.0,30/48,11.26%,RPS2;RPS29;RPS12;RPS3A;EIF3F;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPS14;RPS27;RPS15A;RPS28;RPS19;RPS16;RPS9;RPS25;FAU;RPS11;RPS5;RPS10;EIF3G;RPS4X;RPS6;RPS15;RPS8;RPS23;EIF3L
prerank,Reactome_2022__Influenza Infection R-HSA-168255,-0.586155688182849,-2.719884431484852,0.0,0.0,0.0,77/152,15.13%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;SLC25A6;RPS28;RPS19;RPS16;RPL18;POLR2G;RPL36;RPS9;RPL10A;RPL3;RPL39;RPS25;FAU;POLR2L;RPS11;NUP210;RPS5;RPS10;RPL29;RPL23A;RPS4X;RPS6;RPL38;NUP62;NUP93;RPL23;CPSF4;POLR2H;RPL18A;RPS15;RPL9;RPL11;RPLP2;RPS8;RPS23;RPL28;POLR2C;CLTA;RPL36A;RPL21;RAN;RPS7;POLR2E;POLR2I;NUP85;RPL39L
prerank,Reactome_2022__Translation R-HSA-72766,-0.5282341732044116,-2.5988416249351363,0.0,0.0,0.0,132/274,20.10%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;EIF3F;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;EEF1G;RPS20;RPS3;EEF1B2;EEF2;RPSA;RPL35A;RPS14;RPL35;RPL30;MRPL4;MRPL12;RPS27;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;TRMT112;RPS15A;EEF1A2;MRPL49;RPS28;RPS19;RPS16;RPL18;MRPL17;RPL36;RPS9;MRPS2;MRPL11;MRPL16;RPL10A;RPL3;MRPL10;MRPL21;RPL39;RPS25;FAU;MRPS26;RPS11;RPS5;RPS10;RPL29;EIF3G;EIF2B5;RPL23A;RPS4X;RPS6;RPL38;RPL23;EEF1D;OXA1L;RPL18A;RPS15;KARS1;MRPL54;MRPL58;AARS1;RPL9;RPL11;RPLP2;FARS2;MRPS11;EIF4A1;CARS2;EIF4G1;MRPL41;RPS8;MRPS24;RPS23;AIMP2;MRRF;ERAL1;FARSA;EIF3L;RPL28;MRPL43;MRPL48;MRPS34;MRPS25;MRPL52;MRPL15;EIF2B2;EIF3K;RPL36A;RPL21;MRPS21;RPS7;MRPL18;MRPL20;MRPS18B;SARS2;MRPS7;RPL39L;MRPS27;GADD45GIP1;MRPS33;RPL31;MRPL23;MRPL24;RPL36AL;MRPL38;MRPS16;RPL22L1;EEF1A1;EARS2;SRPRB;RPL34;RPL14;MARS2;HARS1;PARS2;MRPS18A
prerank,Reactome_2022__Signaling By ROBO Receptors R-HSA-376176,-0.5118001732092731,-2.438820503996688,0.0,3.404087757382385e-05,0.001,83/191,14.24%,RPL12;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;RPLP0;RPL13A;RPL7A;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;EVL;RPS27;PSMB10;RPL4;RPL8;RPL37;RPL19;RPL27;RPL41;RPS15A;RPS28;RPS19;RPS16;RPL18;PSMB8;RPL36;RPS9;PSME1;RPL10A;RPL3;RPL39;RPS25;FAU;RPS11;RPS5;RPS10;RPL29;UBB;RPL23A;RPS4X;RPS6;PSMB9;RPL38;PSMF1;RPL23;PSME3;GPC1;RPL18A;RPS15;PFN2;RPL9;RPL11;PFN1;RPLP2;PSME2;EIF4G1;RPS8;PSMD2;EIF4A3;RPS23;PSMB7;RPL28;ARHGAP39;RPL36A;RPL21;ABL1;PSMB6;RPS7;PSMD13;UBC
prerank,Reactome_2022__Metabolism Of Amino Acids And Derivatives R-HSA-71291,-0.45744865293656883,-2.3164669959472954,0.0,3.286705420920924e-05,0.001,122/297,19.65%,RPL12;MAT1A;RPS2;RPL27A;RPS29;RPL15;RPS12;RPS3A;RPLP1;RPL37A;RPL32;GRHPR;RPLP0;RPL13A;RPL7A;ALDH4A1;OAT;RPS13;RPS17;RPS21;RPS20;RPS3;RPSA;RPL35A;RPS14;RPL35;RPL30;RPS27;PSMB10;RPL4;RPL8;RPL37;RPL19;ARG2;RPL27;DLST;RPL41;VSIG2;RPS15A;IVD;RPS28;RPS19;RPS16;RPL18;PSMB8;GCDH;RPL36;RPS9;GSTZ1;PSME1;SLC25A10;RPL10A;RPL3;MRI1;RPL39;RPS25;FAU;RPS11;BCAT2;RPS5;RPS10;RPL29;BCKDHA;RPL23A;RPS4X;OAZ1;RPS6;PSMB9;RPL38;PSMF1;RPL23;CHGA;PSME3;RPL18A;RPS15;KARS1;RPL9;RPL11;TXN2;RPLP2;PSME2;GOT2;PHYKPL;RPS8;PSMD2;GCAT;RPS23;AIMP2;PXMP2;PSMB7;RPL28;ALDH18A1;SMOX;HSD17B10;TSTD1;RPL36A;RPL21;PSMB6;GOLT1A;RPS7;PSMD13;NMRAL1;PCBD1;HGD;RPL39L;PSMC3;SLC3A2;ALDH6A1;PSMB3;LDHD;KYAT1;RPL31;RPL36AL;RPL22L1;PYCR1;PSMB1;EEFSEC;PSMD8;RPL34;CSAD;RPL14;SDSL
prerank,MSigDB_Hallmark_2020__Protein Secretion,0.5321771676435836,2.237749612380499,0.0,0.0,0.0,48/95,22.20%,EGFR;ARFGAP3;ABCA1;TSPAN8;LMAN1;YIPF6;SEC24D;CLTC;TMED2;SEC22B;AP3B1;NAPG;OCRL;USO1;BNIP3;VPS4B;VAMP7;SNAP23;LAMP2;VPS45;GOLGA4;ARCN1;COPB2;STAM;RAB2A;VAMP4;ADAM10;DNM1L;ERGIC3;RAB22A;TPD52;CLN5;RAB9A;MON2;STX16;STX12;BET1;SCAMP1;COPB1;TOM1L1;MAPK1;SCRN1;KIF1B;TMED10;RPS6KA3;CAV2;SGMS1;DST
prerank,Reactome_2022__Mitochondrial Translation Termination R-HSA-5419276,-0.5089271911685253,-2.115690197533853,0.0,0.0009849160578026368,0.027,42/81,22.38%,MRPL4;MRPL12;MRPL49;MRPL17;MRPS2;MRPL11;MRPL16;MRPL10;MRPL21;MRPS26;OXA1L;MRPL54;MRPL58;MRPS11;MRPL41;MRPS24;MRRF;ERAL1;MRPL43;MRPL48;MRPS34;MRPS25;MRPL52;MRPL15;MRPS21;MRPL18;MRPL20;MRPS18B;MRPS7;MRPS27;GADD45GIP1;MRPS33;MRPL23;MRPL24;MRPL38;MRPS16;MRPS18A;MRPL57;MRPL46;AURKAIP1;MRPL51;MRPL9
prerank,MSigDB_Hallmark_2020__Myc Targets V2,-0.5415289208361623,-2.097572606065867,0.0,0.0,0.0,25/57,14.47%,MYC;NOP16;NOP56;CDK4;WDR74;EXOSC5;PPAN;MRTO4;RCL1;NOP2;PPRC1;GRWD1;PA2G4;TCOF1;SLC29A2;MYBBP1A;IPO4;AIMP2;FARSA;IMP4;RRP12;PUS1;SRM;MCM5;PLK1
