Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,6/87,0.5788753783226916,0.7822640247603941,0,0,0.9802769173748443,0.53588608130487,CCR1;CSF3R;TGFB1;LEPR;STAM2;TNFRSF21
MSigDB_Hallmark_2020,Cholesterol Homeostasis,5/74,0.6013504451780703,0.7912505857606189,0,0,0.9589026915113872,0.4876762481807565,NIBAN1;SCD;SEMA3B;LPL;ANTXR2
MSigDB_Hallmark_2020,Pancreas Beta Cells,2/40,0.781962884666874,0.9999385229782348,0,0,0.6961398506958772,0.1712142051308773,ABCC8;FOXO1
MSigDB_Hallmark_2020,Unfolded Protein Response,6/113,0.81377099725717,0.9999385229782348,0,0,0.7410366550206089,0.1527100792194217,DNAJC3;ASNS;DNAJB9;PDIA6;HSP90B1;VEGFA
MSigDB_Hallmark_2020,Interferon Alpha Response,5/97,0.8200665614550593,0.9999385229782348,0,0,0.7182841614906832,0.1424858635590112,LGALS3BP;IFITM2;CCRL2;CMPK2;TENT5A
MSigDB_Hallmark_2020,Spermatogenesis,7/135,0.8443504884027507,0.9999385229782348,0,0,0.7223991863376252,0.1222209845551449,TLE4;ZC2HC1C;ACE;HSPA4L;STAM2;SPATA6;CLGN
MSigDB_Hallmark_2020,G2-M Checkpoint,10/200,0.9024743779742216,0.9999385229782348,0,0,0.6943972835314092,0.0712555628299788,SMARCC1;MARCKS;MEIS1;TGFB1;DMD;RASAL2;TOP1;MKI67;LBR;MEIS2
MSigDB_Hallmark_2020,DNA Repair,7/150,0.9092526560659436,0.9999385229782348,0,0,0.6460978220634873,0.0614647550121916,AGO4;TAF13;PDE4B;CMPK2;TMED2;ERCC5;ADA
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,1/49,0.9719430885213332,0.9999385229782348,0,0,0.2752107075023742,0.0078319537832791,MBP
MSigDB_Hallmark_2020,Interferon Gamma Response,8/200,0.9739220873061744,0.9999385229782348,0,0,0.5488845144356955,0.0145037085126372,LGALS3BP;IFITM2;PELI1;PDE4B;ST3GAL5;CMPK2;SAMHD1;ICAM1
MSigDB_Hallmark_2020,Myc Targets V2,1/58,0.985459317162932,0.9999385229782348,0,0,0.2316439246263807,0.0033929892501393,DUSP2
MSigDB_Hallmark_2020,Oxidative Phosphorylation,5/200,0.9987263645870814,0.9999385229782348,0,0,0.336996336996337,0.0004294840299514879,MTRF1;ACAA2;IDH1;PDK4;IDH3A
MSigDB_Hallmark_2020,E2F Targets,3/200,0.9999385229782348,0.9999385229782348,0,0,0.1998377951729581,1.2285810134708872e-05,DONSON;MKI67;LBR
MSigDB_Hallmark_2020,Myc Targets V1,3/200,0.9999385229782348,0.9999385229782348,0,0,0.1998377951729581,1.2285810134708872e-05,SMARCC1;EPRS1;EIF2S2
Reactome_2022,Signal Transduction R-HSA-162582,241/2465,2.8817705030919706e-08,4.020069851813299e-05,0,0,1.524068502929615,26.461297808907904,APP;AHCYL1;MAML2;ZFYVE9;WIPF1;ITSN1;CCNC;FNBP1L;SOX2;GPR176;BAIAP2L1;OPHN1;PDK4;TNS4;TNS3;IER3;STARD8;PRKCA;GABRG3;RUNX3;UHMK1;DYNC1LI1;TIAM1;ZFYVE16;GPR161;PSME4;SPATA13;EPAS1;LPAR3;MST1R;IQGAP2;PPP3R1;PRKAR2B;RDH10;MYO6;PIP5K1B;RDH14;APOD;NTSR1;ABCA1;LYN;CCR1;FZD2;BCL11B;IGF2;GRIN2D;FAM135A;AGO3;LPAR5;AGO4;ARTN;AGO1;PPP1R1B;STRN;FERMT2;RET;NRP2;CITED1;CLTC;PCSK6;SH3PXD2A;TMED2;CCR3;TMED5;DUSP4;DUSP2;SPHK1;NOG;RHOF;IL17RD;DUSP9;DUSP6;GAL;MRAS;CDC42EP5;PXDN;CDC42EP3;ARHGEF3;ARHGEF4;RHOU;PLCB1;SGK1;RAPGEF3;RHOQ;ARHGEF6;PTGER4;PKN3;PTAFR;GNAI3;XIAP;CXCR4;PRKX;ADCY1;ADCY7;EGFR;ADCY5;LMAN1;NRAS;FGD5;H2BC9;RANBP2;MPP2;CCL22;DEF6;DHRS3;VEGFA;TMEM59;XK;ADM2;ZNF217;PKN2;RAMP1;CDK5R2;RTKN;PLXND1;FAM13A;ITGA2B;IRS2;CDC14A;AMOT;SYDE2;CDH5;HHAT;ARHGAP42;CCRL2;ADORA1;MAP3K7;TLE4;WNT5B;F2R;WNT5A;KCTD6;ARHGAP45;PYGO1;COL4A2;COL4A1;MFNG;ELMO1;PHIP;S100A9;STAM2;S100A8;ABCG1;GNAZ;SHC3;ARHGEF25;DTX1;ITPR3;ABHD6;FOXO4;RASAL2;FOXO1;KLC3;BCL2L11;GRK5;HRH2;SOCS6;MYH10;TGFB1;CAV2;WNT3A;PTCH1;ARPC5;ARHGAP23;GNAO1;CDK8;GNAL;NBEA;FGFR3;FGFR2;GPSM2;DOCK4;DOCK3;ABCD3;DOCK9;SOWAHC;FLT4;DOCK7;LAMC2;LAMC1;ADGRE2;SDR16C5;SPRED2;SPRED1;PDE4B;ITGB8;BDKRB1;ITGB6;AMH;LBR;HGFAC;GPSM3;ACTR2;PLEKHG2;KSR1;PPP2R5A;ARAP3;AXIN2;ARFGAP3;ETV4;CKAP4;ARL4C;ALDH1A3;ADORA2A;PEAK1;COL6A2;SPOPL;ITGA5;AGXT;SOS1;LEPROT;BLTP3B;PRKAA2;SRC;RGS16;FURIN;CXXC4;ERLEC1;P2RY6;SH3BP1;RBBP4;GNG4;IGF2BP1;NHS;S1PR5;SH2B3;MAPK4;LINGO1;GALNT3;LAMB3;SEMA4F;ACVR2B;ACVR2A;DLK1;TNRC6C;FMNL3;TEC;FMNL2;SCD;SPRY1;TNRC6B
Reactome_2022,Extracellular Matrix Organization R-HSA-1474244,47/291,7.010198338524345e-08,4.889613341120731e-05,0,0,2.602963012144185,42.879428980750085,COL17A1;COL18A1;COLGALT2;TMPRSS6;SDC3;ITGA2B;ITGB2;NTN4;LRP4;LAMC2;FURIN;CTSV;LAMC1;ITGAL;FBLN5;ICAM1;SCUBE3;VTN;CAPN8;SH3PXD2A;CTSL;TIMP2;ITGB8;DMD;TIMP1;ITGB6;COL26A1;COL27A1;TGFB1;LAMB3;PRKCA;PCOLCE;P3H3;MMP11;CEACAM1;COL4A2;LOX;COL5A1;COL4A1;COL6A2;PXDN;COL5A2;ADAM9;TLL2;ITGA6;ITGA5;ITGA9
Reactome_2022,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,16/57,1.1890560619144038e-06,0.0004678440979455677,0,0,5.212804439059509,71.11490676197137,COL18A1;COL27A1;LAMB3;LAMC2;PCOLCE;CTSV;COL4A2;LOX;COL5A1;CTSL;COL4A1;COL6A2;PXDN;COL5A2;TLL2;ITGA6
