priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative
586,3,Tier 3 — Partial reversal,2,BRD-K52620403,STO-609,0.000000,-70.180810,-47.466537,3,2,0,-39.215782,-47.466537,-70.180810,-90.000000,586,False,False,True,False,True,False
587,3,Tier 3 — Partial reversal,2,BRD-K63915849,AS-604850,0.000000,-47.437893,-68.072800,3,2,0,-38.503564,-47.437893,-68.072800,-90.000000,587,False,False,True,False,True,False
588,3,Tier 3 — Partial reversal,2,BRD-A01787639,naftopidil,0.000000,-62.313675,-47.100410,3,2,0,-36.471362,-47.100410,-62.313675,-90.000000,588,False,False,True,False,True,False
589,3,Tier 3 — Partial reversal,2,BRD-K47943470,tyrphostin-51,0.000000,-46.910660,-46.952750,3,2,0,-31.287803,-46.910660,-46.952750,-90.000000,589,False,False,True,False,True,False
590,3,Tier 3 — Partial reversal,2,BRD-K98426715,tubacin,0.000000,-46.549140,-61.754417,3,2,0,-36.101186,-46.549140,-61.754417,-90.000000,590,False,False,True,False,True,False
591,3,Tier 3 — Partial reversal,2,BRD-K57886322,fluocinonide,14.823251,-46.389793,-56.893670,3,2,0,-29.486737,-46.389793,-56.893670,-90.000000,591,False,False,True,False,True,False
592,3,Tier 3 — Partial reversal,2,BRD-K33204703,AG-370,0.000000,-46.256927,-52.133236,3,2,0,-32.796721,-46.256927,-52.133236,-90.000000,592,False,False,True,False,True,False
593,3,Tier 3 — Partial reversal,2,BRD-A37817666,picrotoxin,0.000000,-64.130390,-46.148685,3,2,0,-36.759692,-46.148685,-64.130390,-90.000000,593,False,False,True,False,True,False
594,3,Tier 3 — Partial reversal,2,BRD-K01649396,indatraline,36.006220,-46.112965,-46.786606,3,2,0,-18.964450,-46.112965,-46.786606,-90.000000,594,False,False,True,False,True,False
595,3,Tier 3 — Partial reversal,2,BRD-K08806317,timolol,0.000000,-45.919903,-47.864900,3,2,0,-31.261601,-45.919903,-47.864900,-90.000000,595,False,False,True,False,True,False
596,3,Tier 3 — Partial reversal,2,BRD-A59808129,guggulsterone,0.000000,-45.736454,-65.756200,3,2,0,-37.164218,-45.736454,-65.756200,-90.000000,596,False,False,True,False,True,False
597,3,Tier 3 — Partial reversal,2,BRD-K00824317,fludroxycortide,0.000000,-45.678276,-68.371895,3,2,0,-38.016724,-45.678276,-68.371895,-90.000000,597,False,False,True,False,True,False
598,3,Tier 3 — Partial reversal,2,BRD-A76019558,ketoconazole,14.486939,-45.663555,-51.068428,3,2,0,-27.415015,-45.663555,-51.068428,-90.000000,598,False,False,True,False,True,False
599,3,Tier 3 — Partial reversal,2,BRD-K17349619,HLI-373,1.550388,-45.576640,-59.431763,3,2,0,-34.486005,-45.576640,-59.431763,-90.000000,599,False,False,True,False,True,False
600,3,Tier 3 — Partial reversal,2,BRD-K57930253,nitrazepam,0.000000,-81.476900,-45.404686,3,2,0,-42.293862,-45.404686,-81.476900,-90.000000,600,False,False,True,False,True,False
601,3,Tier 3 — Partial reversal,2,BRD-K40892394,AR-C133057XX,0.000000,-71.732864,-45.367820,3,2,0,-39.033561,-45.367820,-71.732864,-90.000000,601,False,False,True,False,True,False
602,3,Tier 3 — Partial reversal,2,BRD-K32977963,eugenol,3.840733,-44.932730,-61.269627,3,2,0,-34.120541,-44.932730,-61.269627,-90.000000,602,False,False,True,False,True,False
603,3,Tier 3 — Partial reversal,2,BRD-K28667196,fillalbin,0.000000,-44.741264,-57.704254,3,2,0,-34.148506,-44.741264,-57.704254,-90.000000,603,False,False,True,False,True,False
604,3,Tier 3 — Partial reversal,2,BRD-K30570479,VU-0400195-3,0.000000,-62.669506,-44.594543,3,2,0,-35.754683,-44.594543,-62.669506,-90.000000,604,False,False,True,False,True,False
605,3,Tier 3 — Partial reversal,2,BRD-A50737080,CGK-733,2.008457,-57.767708,-44.329273,3,2,0,-33.362841,-44.329273,-57.767708,-90.000000,605,False,False,True,False,True,False
606,3,Tier 3 — Partial reversal,2,BRD-A56359832,zileuton,0.211417,-44.116383,-48.836212,3,2,0,-30.913726,-44.116383,-48.836212,-90.000000,606,False,False,True,False,True,False
607,3,Tier 3 — Partial reversal,2,BRD-K16551401,PNU-22394,0.000000,-43.885520,-60.601000,3,2,0,-34.828840,-43.885520,-60.601000,-90.000000,607,False,False,True,False,True,False
608,3,Tier 3 — Partial reversal,2,BRD-A48261811,argatroban,0.140944,-43.634808,-44.706135,3,2,0,-29.400000,-43.634808,-44.706135,-90.000000,608,False,False,True,False,True,False
609,3,Tier 3 — Partial reversal,2,BRD-K01612348,meropenem,1.090369,-73.156140,-43.405518,3,2,0,-38.490430,-43.405518,-73.156140,-90.000000,609,False,False,True,False,True,False
610,3,Tier 3 — Partial reversal,2,BRD-A26787626,cyclopiazonic-acid,0.000000,-43.297382,-61.329903,3,2,0,-34.875762,-43.297382,-61.329903,-90.000000,610,False,False,True,False,True,False
611,3,Tier 3 — Partial reversal,2,BRD-A35338386,NECA,3.167313,-55.805313,-43.045013,3,2,0,-31.894338,-43.045013,-55.805313,-90.000000,611,False,False,True,False,True,False
612,3,Tier 3 — Partial reversal,2,BRD-K55703048,latrepirdine,0.000000,-61.067230,-42.907585,3,2,0,-34.658272,-42.907585,-61.067230,-90.000000,612,False,False,True,False,True,False
613,3,Tier 3 — Partial reversal,2,BRD-K68246049,TTNPB,0.000000,-63.731110,-42.604370,3,2,0,-35.445160,-42.604370,-63.731110,-90.000000,613,False,False,True,False,True,False
614,3,Tier 3 — Partial reversal,2,BRD-A70461345,naloxone,0.000000,-65.142910,-42.274520,3,2,0,-35.805810,-42.274520,-65.142910,-90.000000,614,False,False,True,False,True,False
615,3,Tier 3 — Partial reversal,2,BRD-A93048969,BRD-A93048969,0.000000,-41.836624,-42.373035,3,2,0,-28.069886,-41.836624,-42.373035,-90.000000,615,False,False,True,False,True,False
616,3,Tier 3 — Partial reversal,2,BRD-K41143549,N20C,15.728773,-71.683685,-41.835250,3,2,0,-32.596721,-41.835250,-71.683685,-90.000000,616,False,False,True,False,True,False
617,3,Tier 3 — Partial reversal,2,BRD-A75552914,isoxicam,1.409443,-69.171190,-41.748665,3,2,0,-36.503471,-41.748665,-69.171190,-90.000000,617,False,False,True,False,True,False
618,3,Tier 3 — Partial reversal,2,BRD-K67831364,ZM-323881,1.162791,-46.595947,-41.590137,3,2,0,-29.007764,-41.590137,-46.595947,-90.000000,618,False,False,True,False,True,False
619,3,Tier 3 — Partial reversal,2,BRD-A32164164,methyllycaconitine,0.000000,-41.552067,-43.479930,3,2,0,-28.343999,-41.552067,-43.479930,-90.000000,619,False,False,True,False,True,False
620,3,Tier 3 — Partial reversal,2,BRD-K18905250,ST-91,0.000000,-55.351000,-41.509650,3,2,0,-32.286883,-41.509650,-55.351000,-90.000000,620,False,False,True,False,True,False
621,3,Tier 3 — Partial reversal,2,BRD-K04146668,GW-441756,0.000000,-58.312340,-41.390285,3,2,0,-33.234208,-41.390285,-58.312340,-90.000000,621,False,False,True,False,True,False
622,3,Tier 3 — Partial reversal,2,BRD-K00317371,RITA,0.000000,-45.818420,-41.050040,3,2,0,-28.956153,-41.050040,-45.818420,-90.000000,622,False,False,True,False,True,False
623,3,Tier 3 — Partial reversal,2,BRD-A90311807,cilastatin,0.000000,-40.759197,-63.788680,3,2,0,-34.849292,-40.759197,-63.788680,-90.000000,623,False,False,True,False,True,False
624,3,Tier 3 — Partial reversal,2,BRD-K64451768,GANT-58,-40.375550,40.602080,-56.195360,3,2,0,-18.656277,-40.375550,-56.195360,-90.000000,624,True,False,False,False,True,False
625,3,Tier 3 — Partial reversal,2,BRD-A15493168,tetracycline,0.000000,-45.202026,-40.327312,3,2,0,-28.509779,-40.327312,-45.202026,-90.000000,625,False,False,True,False,True,False
626,3,Tier 3 — Partial reversal,2,BRD-A06390036,hydroquinidine,0.000000,-40.102448,-64.494290,3,2,0,-34.865579,-40.102448,-64.494290,-90.000000,626,False,False,True,False,True,False
627,3,Tier 3 — Partial reversal,2,BRD-K02715688,"hydrastine-(1r,-9s)",0.000000,-40.054710,-42.078842,3,2,0,-27.377851,-40.054710,-42.078842,-90.000000,627,False,False,True,False,True,False
628,3,Tier 3 — Partial reversal,2,BRD-K48427617,U-0124,0.000000,-39.553844,-71.943560,3,2,0,-37.165801,-39.553844,-71.943560,-90.000000,628,False,False,True,False,True,False
629,3,Tier 3 — Partial reversal,2,BRD-K04833372,GSK-1904529A,0.000000,-49.071552,-39.546570,3,2,0,-29.539374,-39.546570,-49.071552,-90.000000,629,False,False,True,False,True,False
630,3,Tier 3 — Partial reversal,2,BRD-K79437791,acetyl-farnesyl-cysteine,0.000000,-39.310402,-42.336433,3,2,0,-27.215612,-39.310402,-42.336433,-90.000000,630,False,False,True,False,True,False
631,3,Tier 3 — Partial reversal,2,BRD-K97330509,SRC-kinase-inhibitor-II,0.000000,-49.818542,-38.740005,3,2,0,-29.519516,-38.740005,-49.818542,-90.000000,631,False,False,True,False,True,False
632,3,Tier 3 — Partial reversal,2,BRD-K49519144,LY-2140023,0.000000,-38.500805,-49.418000,3,2,0,-29.306268,-38.500805,-49.418000,-90.000000,632,False,False,True,False,True,False
633,3,Tier 3 — Partial reversal,2,BRD-K27499107,carbacyclin,0.000000,-42.648000,-38.385857,3,2,0,-27.011286,-38.385857,-42.648000,-90.000000,633,False,False,True,False,True,False
634,3,Tier 3 — Partial reversal,2,BRD-K77625572,etomoxir,0.000000,-52.312150,-38.218300,3,2,0,-30.176817,-38.218300,-52.312150,-90.000000,634,False,False,True,False,True,False
635,3,Tier 3 — Partial reversal,2,BRD-K87226815,cycloserine-(d),-38.196860,3.045615,-80.090904,3,2,0,-38.414050,-38.196860,-80.090904,-90.000000,635,True,False,False,False,True,False
636,3,Tier 3 — Partial reversal,2,BRD-K29113274,ketoconazole,0.000000,-38.177060,-51.334213,3,2,0,-29.837091,-38.177060,-51.334213,-90.000000,636,False,False,True,False,True,False
637,3,Tier 3 — Partial reversal,2,BRD-A38913120,BH3I-1,0.000000,-42.117878,-38.170883,3,2,0,-26.762920,-38.170883,-42.117878,-90.000000,637,False,False,True,False,True,False
