priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative
2117,4,Tier 4 — Weak/single-signature,0,BRD-K46424862,hymecromone,0.000000,22.675072,5.968782,3,0,0,9.547951,5.968782,0.000000,-90.000000,2117,False,False,False,False,False,False
2118,4,Tier 4 — Weak/single-signature,0,BRD-A62525898,prednisone,0.458069,19.476194,5.982876,3,0,0,8.639046,5.982876,0.458069,-90.000000,2118,False,False,False,False,False,False
2119,4,Tier 4 — Weak/single-signature,0,BRD-K39356024,pregnenolone,0.000000,6.087027,11.961181,3,0,0,6.016069,6.087027,0.000000,-90.000000,2119,False,False,False,False,False,False
2120,4,Tier 4 — Weak/single-signature,0,BRD-K54759182,dosulepin,0.000000,6.918182,6.153032,3,0,0,4.357071,6.153032,0.000000,-90.000000,2120,False,False,False,False,False,False
2121,4,Tier 4 — Weak/single-signature,0,BRD-A53107311,BRD-A53107311,0.000000,6.201550,30.186543,3,0,0,12.129364,6.201550,0.000000,-90.000000,2121,False,False,False,False,False,False
2122,4,Tier 4 — Weak/single-signature,0,BRD-K51805276,temefos,0.000000,6.221789,9.433230,3,0,0,5.218340,6.221789,0.000000,-90.000000,2122,False,False,False,False,False,False
2123,4,Tier 4 — Weak/single-signature,0,BRD-K41567364,SB-334867,1.268499,33.532898,6.252899,3,0,0,13.684765,6.252899,1.268499,-90.000000,2123,False,False,False,False,False,False
2124,4,Tier 4 — Weak/single-signature,0,BRD-A18279961,BRD-A18279961,6.308103,4.157857,29.655003,3,0,0,13.373654,6.308103,4.157857,-90.000000,2124,False,False,False,False,False,False
2125,4,Tier 4 — Weak/single-signature,0,BRD-K65503129,CCT-018159,0.000000,8.788183,6.333356,3,0,0,5.040513,6.333356,0.000000,-90.000000,2125,False,False,False,False,False,False
2126,4,Tier 4 — Weak/single-signature,0,BRD-A86044036,flurbiprofen-(+/-),2.184637,6.342494,22.076534,3,0,0,10.201222,6.342494,2.184637,-90.000000,2126,False,False,False,False,False,False
2127,4,Tier 4 — Weak/single-signature,0,BRD-K06388322,pramipexole,0.000000,6.354453,6.468872,3,0,0,4.274442,6.354453,0.000000,-90.000000,2127,False,False,False,False,False,False
2128,4,Tier 4 — Weak/single-signature,0,BRD-K56957086,dacinostat,0.211417,35.744330,6.380984,3,0,0,14.112243,6.380984,0.211417,-90.000000,2128,False,False,False,False,False,False
2129,4,Tier 4 — Weak/single-signature,0,BRD-K43245338,MDL-28170,0.000000,6.444757,10.221064,3,0,0,5.555274,6.444757,0.000000,-90.000000,2129,False,False,False,False,False,False
2130,4,Tier 4 — Weak/single-signature,0,BRD-A73929928,BRD-A73929928,0.528541,6.520976,16.917522,3,0,0,7.989013,6.520976,0.528541,-90.000000,2130,False,False,False,False,False,False
2131,4,Tier 4 — Weak/single-signature,0,BRD-K29173907,isoflupredone-acetate,0.000000,6.557756,11.169838,3,0,0,5.909198,6.557756,0.000000,-90.000000,2131,False,False,False,False,False,False
2132,4,Tier 4 — Weak/single-signature,0,BRD-K81521265,dicyclohexylurea,0.000000,14.822517,6.569241,3,0,0,7.130586,6.569241,0.000000,-90.000000,2132,False,False,False,False,False,False
2133,4,Tier 4 — Weak/single-signature,0,BRD-K98824517,BRD-K98824517,6.624383,53.335857,0.000000,3,0,0,19.986747,6.624383,0.000000,-90.000000,2133,False,False,False,False,False,False
