pubchem_cid,canonical_smiles,isomeric_smiles,inchikey,molecular_formula
5281004,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,VOVIALXJUBGFJZ-KWVAZRHASA-N,C25H34O6
5281034,CC12CCC3C(C1CCC2(C)O)CCC4C3(CC(=CO)C(=O)C4)C,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C,ICMWWNHDUZJFDW-DHODBPELSA-N,C21H32O3
5281081,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,JRURYQJSLYLRLN-BJMVGYQFSA-N,C14H15N3O5
5281680,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C(=C3O)O)O)O)O)O,ZVOLCUVKHLEPEV-UHFFFAOYSA-N,C15H10O8
5281894,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3)O,MQGPSCMMNJKMHQ-UHFFFAOYSA-N,C15H10O3
5282440,C1=CC(=CC=C1CN2C=CN=C2)C=CC(=O)O,C1=CC(=CC=C1CN2C=CN=C2)/C=C/C(=O)O,SHZKQBHERIJWAO-AATRIKPKSA-N,C13H12N2O2
52947716,CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C,CC[C@@H]\1CC[C@H]2[C@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)/C=C/[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@]([C@H]([C@@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C,MNULEGDCPYONBU-AWJDAWNUSA-N,C45H74O11
5311432,CC1=NC(=CC=C1)C=CC2=CC=CC=C2,CC1=NC(=CC=C1)/C=C/C2=CC=CC=C2,SISOFUCTXZKSOQ-ZHACJKMWSA-N,C14H13N
5312557,CCC=CCC=CCC=CCCCCCCCCCCCC(=O)O,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O,WBBQTNCISCKUMU-PDBXOOCHSA-N,C22H38O2
53276,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,JUUFBMODXQKSTD-UHFFFAOYSA-N,C15H17FN4O2
