pubchem_cid,pubchem_assay_rows_n,pubchem_active_assay_n,pubchem_inactive_assay_n,pubchem_inconclusive_assay_n,pubchem_interpretable_assay_n,pubchem_active_fraction,cytotoxicity_keyword_assay_n,cytotoxicity_keyword_active_n,active_target_gene_ids,active_target_accessions
5360696,825,77,136,19,213,0.3615023474178404,10,0,100135589.0 | 10280.0 | 116443.0 | 116444.0 | 148.0 | 1565.0 | 170796.0 | 191573.0 | 24408.0 | 24409.0 | 24410.0 | 24411.0 | 24412.0 | 24766.0 | 25053.0 | 2902.0 | 2903.0 | 2904.0 | 2905.0 | 2906.0 | 29336.0 | 3356.0 | 3357.0 | 497770.0 | 4986.0 | 4988.0 | 6532.0 | 6869.0 | 81574.0,NP_000097 | NP_000826 | NP_001020332 | O15399 | O60391 | P04774 | P04775 | P08104 | P10634 | P10635 | P25103 | P28223 | P31645 | P35348 | P35372 | P35439 | P41145 | P41595 | Q00959 | Q00960 | Q00961 | Q05586 | Q12879 | Q13224 | Q14957 | Q60492 | Q62645 | Q8TCU5 | Q8VHN2 | Q96LB1 | Q99720 | Q9R0C9 | Q9R1M7
5462501,1000,31,769,20,800,0.03875,139,0,100009274.0 | 10242.0 | 11421.0 | 1636.0 | 2101.0 | 22066.0 | 24310.0 | 302668.0,AAC05178 | ADZ17378 | NP_001171528 | NP_005823 | P09470 | P12821 | P12822 | P47820 | Q5EGZ1
54678922,40,23,0,3,23,1.0,0,0,5770.0 | 5771.0,P17706 | P18031 | P30306
54682505,740,66,611,22,677,0.0974889217134416,13,0,1544.0 | 1565.0 | 170796.0 | 191573.0 | 24408.0 | 24409.0 | 24410.0 | 24411.0 | 24412.0 | 2902.0 | 2903.0 | 2904.0 | 2905.0 | 5049.0,2O23_A | 2O23_B | 3I06_A | NP_000097 | NP_000752 | NP_000825 | NP_000826 | NP_001020332 | NP_001127880 | NP_001171675 | NP_058706 | P35439 | Q00959 | Q00960 | Q00961 | Q62645 | Q8VHN2 | Q9R1M7
4679,1638,57,753,117,810,0.07037037037037037,194,3,1544.0 | 1551.0 | 1557.0 | 1559.0 | 1565.0 | 1576.0 | 196.0 | 2194.0 | 24208.0 | 2876.0 | 2879.0 | 4137.0 | 4780.0 | 495.0 | 496.0 | 55244.0 | 6582.0 | 7421.0 | 7468.0 | 9429.0,AAI14949 | AAV41877 | ABI96208 | AGS09764 | ANW61984 | EAL24281 | EAW99313 | NP_000756 | NP_001017535 | NP_006155 | O15244 | O96028 | P07203 | P15207 | P20648 | P36969 | P49327 | P51164 | Q96FL8 | Q9UNQ0 | QLI62812
5534,143,1,122,12,123,0.008130081300813009,1,0,,B45705
5587,239,16,101,0,117,0.13675213675213677,66,0,1129.0 | 150.0 | 152.0 | 3269.0 | 3356.0 | 3757.0 | 4986.0 | 6530.0 | 6531.0 | 6532.0,NP_001091683 | P08172 | P08913 | P18825 | P23975 | P28223 | P31645 | P35367 | P41145 | Q01959 | Q12809
5712,1472,160,1050,163,1210,0.1322314049586777,263,36,10951.0 | 110813108.0 | 1387.0 | 1544.0 | 1559.0 | 1576.0 | 2033.0 | 2034.0 | 2671.0 | 28989.0 | 2977.0 | 2982.0 | 2983.0 | 29994.0 | 3091.0 | 3783750.0 | 4088.0 | 4790.0 | 51053.0 | 54737.0 | 5999.0 | 6401.0 | 6622.0 | 6850.0 | 7468.0 | 856395.0 | 886474.0,2O23_A | 2O23_B | AAG24257 | AAH33210 | AAI07878 | AAL68976 | AAP88778 | ABC94591 | ACA62796 | B45705 | BAA89212 | CAD53472 | CAQ07474 | CDO16358 | CDO16711 | DAA06693 | NP_000441 | NP_000752 | NP_000762 | NP_001120700 | NP_001273728 | NP_005253 | NP_005604 | NP_056979 | NP_059488 | NP_059990 | NP_214877 | O75343 | O96028 | P00784 | P33402 | P37840 | P43405 | Q02108 | Q02153 | Q09472 | Q16665 | Q92793 | Q99814
5743,4221,361,1730,174,2091,0.1726446676231468,339,15,1080.0 | 15499.0 | 1551.0 | 1557.0 | 18171.0 | 1831.0 | 24413.0 | 246310.0 | 2737.0 | 2908.0 | 367.0 | 4306.0 | 4780.0 | 5241.0 | 5319.0 | 5320.0 | 5322.0 | 7468.0 | 84385.0,AAD47214 | AAH94064 | AAI13617 | AAI32976 | AAV41877 | ABB72139 | ADP91253 | NP_000483 | NP_000756 | NP_001091874 | NP_001138884 | NP_001159576 | NP_001191194 | NP_006155 | NP_659558 | O14920 | O15111 | O96028 | P04054 | P04150 | P06401 | P06536 | P07550 | P08235 | P10275 | P14555 | P19838 | P39877 | Q00653 | Q04206 | Q690N0 | Q99576 | Q9R1A7
5746,3468,1200,971,260,2171,0.5527406725011516,1123,814,100757539.0 | 1544.0 | 1551.0 | 1565.0 | 1588.0 | 2099.0 | 2100.0 | 2101.0 | 24831.0 | 2737.0 | 2908.0 | 367.0 | 43740568.0 | 4780.0 | 5241.0 | 5467.0 | 5468.0 | 5914.0 | 6311.0 | 65975.0 | 6850.0 | 7157.0 | 836.0 | 840.0 | 84706.0 | 947286.0 | 947287.0 | 947294.0 | 9971.0,AAH11558 | AAI07878 | AAI13617 | AAI32976 | AAP35329 | AAV31779 | AAY56401 | ABB72139 | ABI96208 | ACA62796 | ADP91253 | ADZ17337 | ADZ17378 | ADZ17382 | AEP43755 | AFN61604 | ANW61984 | BAH02282 | BAH02283 | CAC29064 | CAC88866 | EAW77416 | EAW99313 | EGV99105 | NP_000756 | NP_001257783 | NP_207880 | NP_208344 | NP_371243 | NP_417296 | NP_417297 | NP_417299 | P04637 | P43405 | P59594 | Q8TD30 | Q99700
