priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status,regulatory_verification_date_utc,regulatory_jurisdiction,regulatory_primary_source,clinical_trial_source,fda_application_record_found,fda_application_number,fda_sponsor_name,fda_product_number,fda_marketing_status,fda_dosage_form,fda_route,fda_active_ingredient,fda_drugsfda_match_name,fda_drugsfda_http_status,fda_label_record_found,fda_label_generic_name,fda_label_brand_name,fda_label_manufacturer,fda_label_product_type,fda_label_route,fda_label_indications_excerpt,fda_label_match_name,fda_label_http_status,clinical_trial_record_found,clinical_trial_count_returned,clinical_trial_nct_ids,clinical_trial_statuses,clinical_trial_phases,clinical_trial_conditions,clinical_trial_match_name,clinicaltrials_http_status,regulatory_evidence_category,clinical_evidence_level,manual_regulatory_review_required,her2_breast_cancer_indication_verified,trastuzumab_resistance_indication_verified,final_fda_approval_claim,regulatory_processing_status
364,2,Tier 2 — Consistent reversal,3,BRD-A27887842,prednisolone,-0.352361,-11.571449,-10.235664,3,3,0,-7.386491,-10.235664,-11.571449,-90.000000,374,True,False,True,False,True,False,5755.000000,Prednisolone,C21H28O5,360.400000,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-16,18,22,24,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1",OIGNJSKKLXVSLS-VWUMJDOOSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,True,PREDNISOLONE ACETATE,PRED FORTE,"Allergan, Inc.",HUMAN PRESCRIPTION DRUG,OPHTHALMIC,"INDICATIONS AND USAGE PRED FORTE ® is indicated for the treatment of steroid-responsive inflammation of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe.",prednisolone,200,True,10,NCT00004482 | NCT00672763 | NCT00891306 | NCT01475643 | NCT01907204 | NCT02038452 | NCT03156452 | NCT03745664 | NCT05930132 | NCT07152587,COMPLETED | NOT_YET_RECRUITING | UNKNOWN | WITHDRAWN,"NA | PHASE2 | PHASE2, PHASE3 | PHASE3 | PHASE4","Carpal Tunnel Syndrome (CTS) | Cataract | Community-acquired Pneumonia | Crohn's Disease | Endoscopic Sinus Surgery | Familial Lipoprotein Lipase Deficiency | Immune Thrombocytopenia | Myocarditis, Giant Cell Myocarditis | Severe Community-acquired Pneumonia (sCAP) | Sinusitis",prednisolone,200,FDA_LABEL_EVIDENCE_FOUND,MODERATE_REGULATORY_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
366,2,Tier 2 — Consistent reversal,3,BRD-K04218075,clomifene,-0.070472,-10.192813,-18.766533,3,3,0,-9.676606,-10.192813,-18.766533,-90.000000,376,True,False,True,False,True,False,1548955.000000,Zuclomiphene,C26H28ClNO,406.000000,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,CCN(CC)CCOC1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\Cl)/C3=CC=CC=C3,"InChI=1S/C26H28ClNO/c1-3-28(4-2)19-20-29-24-17-15-22(16-18-24)25(21-11-7-5-8-12-21)26(27)23-13-9-6-10-14-23/h5-18H,3-4,19-20H2,1-2H3/b26-25-",GKIRPKYJQBWNGO-QPLCGJKRSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,404,True,10,NCT00005654 | NCT00427700 | NCT00610077 | NCT01044862 | NCT01969812 | NCT02235103 | NCT03316469 | NCT03398993 | NCT04010942 | NCT06564961,COMPLETED | UNKNOWN,NA | PHASE3 | PHASE4,"Hyperinsulinism, Polycystic Ovary Syndrome | Infertility | Infertility, Male | PCOS, Vitamin D Deficiency | Polycystic Ovary Syndrome | Pregnancy, Unexplained Infertility | Unexplained Infertility",clomifene,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
367,2,Tier 2 — Consistent reversal,3,BRD-K77695569,tiabendazole,-0.281889,-26.844849,-10.157458,3,3,0,-12.428065,-10.157458,-26.844849,-90.000000,377,True,False,True,False,True,False,5430.000000,Thiabendazole,C10H7N3S,201.250000,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,"InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)",WJCNZQLZVWNLKY-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,3,NCT05846126 | NCT05907265 | NCT07040748,COMPLETED | RECRUITING,NA,"Cancer, Cognitive Impairment | Metabolic Syndrome | Post-COVID Syndrome",tiabendazole,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
368,2,Tier 2 — Consistent reversal,3,BRD-A71157293,fursultiamine,-9.957019,-5.254379,-13.954142,3,3,0,-9.721847,-9.957019,-13.954142,-90.000000,378,True,False,True,False,True,False,3002119.000000,Fursultiamine,C17H26N4O3S2,398.500000,CC1=NC=C(C(=N1)N)CN(C=O)C(=C(CCO)SSCC2CCCO2)C,CC1=NC=C(C(=N1)N)CN(C=O)/C(=C(\CCO)/SSCC2CCCO2)/C,"InChI=1S/C17H26N4O3S2/c1-12(16(5-6-22)26-25-10-15-4-3-7-24-15)21(11-23)9-14-8-19-13(2)20-17(14)18/h8,11,15,22H,3-7,9-10H2,1-2H3,(H2,18,19,20)/b16-12+",JTLXCMOFVBXEKD-FOWTUZBSSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,1,NCT02423811,COMPLETED,PHASE2,Cancer Stem Cell,fursultiamine,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
369,2,Tier 2 — Consistent reversal,3,BRD-A65449987,flunisolide,-1.832276,-9.925619,-39.384895,3,3,0,-17.047597,-9.925619,-39.384895,-90.000000,379,True,False,True,False,True,False,82153.000000,Flunisolide,C24H31FO6,434.500000,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O,"InChI=1S/C24H31FO6/c1-21(2)30-19-9-14-13-8-16(25)15-7-12(27)5-6-22(15,3)20(13)17(28)10-23(14,4)24(19,31-21)18(29)11-26/h5-7,13-14,16-17,19-20,26,28H,8-11H2,1-4H3/t13-,14-,16-,17-,19+,20+,22-,23-,24+/m0/s1",XSFJVAJPIHIPKU-XWCQMRHXSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,6,NCT00203684 | NCT00346775 | NCT01347060 | NCT02404103 | NCT02509299 | NCT02515318,COMPLETED | UNKNOWN,NA | PHASE1 | PHASE3,"Asthma | Asthma, Distal Lung Inflammation | COPD | Childhood Asthma | Rhinitis, Allergic, Perennial",flunisolide,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
370,2,Tier 2 — Consistent reversal,3,BRD-K54462405,doxepin,-0.246653,-19.363598,-9.923738,3,3,0,-9.844663,-9.923738,-19.363598,-90.000000,380,True,False,True,False,True,False,3158.000000,Doxepin,C19H21NO,279.400000,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,"InChI=1S/C19H21NO/c1-20(2)13-7-11-17-16-9-4-3-8-15(16)14-21-19-12-6-5-10-18(17)19/h3-6,8-12H,7,13-14H2,1-2H3",ODQWQRRAPPTVAG-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,10,NCT00704860 | NCT01156142 | NCT01268709 | NCT02229539 | NCT02353299 | NCT03943407 | NCT04554888 | NCT04588532 | NCT05107999 | NCT07542756,COMPLETED | RECRUITING | UNKNOWN | WITHDRAWN,NA | PHASE2 | PHASE3 | PHASE4,"Acute Oral Mucositis Pain | Functional Gastrointestinal Disorders, Dyspepsia, Psychosomatic Disorder | Head and Neck Cancer, Mucositis, Oral Complications of Radiation Therapy, Pain | Healthy | Insomnia, Insomnia Disorder, Chronic Insomnia, Chronic Insomnia Disorder | Irritable Bowel Syndrome | Itch | Major Depression",doxepin,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
373,2,Tier 2 — Consistent reversal,3,BRD-K32247306,primidone,-1.484545,-9.584214,-13.406431,3,3,0,-8.158397,-9.584214,-13.406431,-90.000000,383,True,False,True,False,True,False,4909.000000,Primidone,C12H14N2O2,218.250000,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)",DQMZLTXERSFNPB-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,10,NCT00068770 | NCT00404248 | NCT00734864 | NCT01132040 | NCT01390909 | NCT02008123 | NCT03196466 | NCT04692844 | NCT07006740 | NCT07212244,COMPLETED | NOT_YET_RECRUITING | RECRUITING | TERMINATED | WITHDRAWN,"PHASE1 | PHASE1, PHASE2 | PHASE2","Brain and Central Nervous System Tumors | Clopidogrel Resistance, Secondary Stroke Prevention | Epilepsy | Essential Tremor | Essential Tremor, Essential Tremor, Movement Disorders | Glioblastoma Multiforme, Gliosarcoma, Anaplastic Astrocytoma, Anaplastic Oligodendroglioma, Glioma | Healthy",primidone,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
375,2,Tier 2 — Consistent reversal,3,BRD-A50684349,fenoldopam,-0.458069,-9.446781,-18.401314,3,3,0,-9.435388,-9.446781,-18.401314,-90.000000,385,True,False,True,False,True,False,3341.000000,Fenoldopam,C16H16ClNO3,305.750000,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,"InChI=1S/C16H16ClNO3/c17-15-11-5-6-18-8-13(9-1-3-10(19)4-2-9)12(11)7-14(20)16(15)21/h1-4,7,13,18-21H,5-6,8H2",TVURRHSHRRELCG-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,True,ANDA076582,HIKMA,001,Discontinued,INJECTABLE,INJECTION,FENOLDOPAM MESYLATE,fenoldopam,200,False,,,,,,,,404,True,10,NCT00467181 | NCT00557219 | NCT00621790 | NCT00743106 | NCT00747331 | NCT00982527 | NCT01073189 | NCT01324245 | NCT01690832 | NCT02620761,COMPLETED | TERMINATED | UNKNOWN | WITHDRAWN,"NA | PHASE2 | PHASE2, PHASE3 | PHASE3 | PHASE4","Acute Renal Failure | Cardiac Complications, Cardiopulmonary Bypass | Cardiac Surgery With Cardiopulmonary Bypass | Coronary Artery Disease | Kidney Failure, Acute | Kidney Failures, Acute | Partial Nephrectomy | Patent Ductus Arteriosus (PDA), Acute Kidney Injury (AKI) | Salt-sensitive Hypertension",fenoldopam,200,FDA_APPLICATION_RECORD_FOUND,MODERATE_REGULATORY_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
376,2,Tier 2 — Consistent reversal,3,BRD-K89923877,scopolamine,-0.105708,-30.219748,-9.397966,3,3,0,-13.241141,-9.397966,-30.219748,-90.000000,386,True,False,True,False,True,False,3000322.000000,Boro-Scopol,C17H21NO4,303.350000,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4,"InChI=1S/C17H21NO4/c1-18-13-7-11(8-14(18)16-15(13)22-16)21-17(20)12(9-19)10-5-3-2-4-6-10/h2-6,11-16,19H,7-9H2,1H3/t11?,12-,13-,14+,15-,16+/m1/s1",STECJAGHUSJQJN-USLFZFAMSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,10,NCT00659737 | NCT00929110 | NCT01176903 | NCT01198106 | NCT01277523 | NCT02242266 | NCT02259959 | NCT02839135 | NCT03169504 | NCT04593836,COMPLETED | UNKNOWN,"NA | PHASE1 | PHASE1, PHASE2 | PHASE2 | PHASE3","Asthma | Chronic Obstructive Pulmonary Disease | Chronic Obstructive Pulmonary Disease (COPD) | Healthy | Motion Sickness | Nausea, Vomiting | Pulmonary Disease, Chronic Obstructive | Simulator Sickness | Upper Gastrointestinal Endoscopy",scopolamine,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
379,2,Tier 2 — Consistent reversal,3,BRD-K55468218,spiperone,-0.281889,-29.854490,-9.332719,3,3,0,-13.156366,-9.332719,-29.854490,-90.000000,389,True,False,True,False,True,False,5265.000000,Spiperone,C23H26FN3O2,395.500000,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,"InChI=1S/C23H26FN3O2/c24-19-10-8-18(9-11-19)21(28)7-4-14-26-15-12-23(13-16-26)22(29)25-17-27(23)20-5-2-1-3-6-20/h1-3,5-6,8-11H,4,7,12-17H2,(H,25,29)",DKGZKTPJOSAWFA-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,404,False,,,,,,,,429,True,2,NCT00487292 | NCT03322358,COMPLETED,NA,"Blood Pressure, Depression | Sleep",spiperone,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
380,2,Tier 2 — Consistent reversal,3,BRD-K50214219,CS-1657,-18.957315,-5.842337,-9.308505,3,3,0,-11.369386,-9.308505,-18.957315,-90.000000,390,True,False,True,False,True,False,25183872.000000,Ixazomib,C14H19BCl2N2O4,361.000000,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,B([C@H](CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,"InChI=1S/C14H19BCl2N2O4/c1-8(2)5-12(15(22)23)19-13(20)7-18-14(21)10-6-9(16)3-4-11(10)17/h3-4,6,8,12,22-23H,5,7H2,1-2H3,(H,18,21)(H,19,20)/t12-/m0/s1",MXAYKZJJDUDWDS-LBPRGKRZSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,10,NCT02516423 | NCT02697383 | NCT03416374 | NCT03457142 | NCT03608501 | NCT03720041 | NCT03888534 | NCT04094961 | NCT04119336 | NCT05477797,ACTIVE_NOT_RECRUITING | COMPLETED | TERMINATED | UNKNOWN | WITHDRAWN,"NA | PHASE1 | PHASE1, PHASE2 | PHASE2 | PHASE3 | PHASE4","Multiple Myeloma | Multiple Myeloma, High Risk Smoldering Multiple Myeloma | Multiple Myeloma, Multiple Myeloma in Relapse | Precursor Cell Lymphoblastic Leukemia-lymphoma | Progression Free Survival, Overall Survival, Maintenance | Recurrent Plasma Cell Myeloma, Refractory Plasma Cell Myeloma | Relapsed Multiple Myeloma, Refractory Multiple Myeloma | Relapsed and/or Refractory Multiple Myeloma | Solitary Osseous Plasmacytoma",Ixazomib,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
382,2,Tier 2 — Consistent reversal,3,BRD-K38323065,phenacetin,-31.631142,-9.102650,-9.307935,3,3,0,-16.680576,-9.307935,-31.631142,-90.000000,392,True,False,True,False,True,False,4754.000000,Phenacetin,C10H13NO2,179.220000,CCOC1=CC=C(C=C1)NC(=O)C,CCOC1=CC=C(C=C1)NC(=O)C,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",CPJSUEIXXCENMM-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,404,True,HOMEOPATHIC LIQUID,Medi-Chord,Energetix Corporation,HUMAN OTC DRUG,ORAL,"Uses Temporary relief of headache, joint pain, skin eruption, itching.",phenacetin,200,True,1,NCT00302835,COMPLETED,,"Kidney Failure, Chronic",phenacetin,200,FDA_LABEL_EVIDENCE_FOUND,MODERATE_REGULATORY_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
385,2,Tier 2 — Consistent reversal,3,BRD-A60197193,amisulpride,-7.152925,-9.104758,-9.054271,3,3,0,-8.437318,-9.054271,-9.104758,-90.000000,395,True,False,True,False,True,False,2159.000000,Amisulpride,C17H27N3O4S,369.500000,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,"InChI=1S/C17H27N3O4S/c1-4-20-8-6-7-12(20)11-19-17(21)13-9-16(25(22,23)5-2)14(18)10-15(13)24-3/h9-10,12H,4-8,11,18H2,1-3H3,(H,19,21)",NTJOBXMMWNYJFB-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,True,AMISULPRIDE,Barhemsys,Acacia Pharma Ltd,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,"1 INDICATIONS AND USAGE BARHEMSYS ® is indicated in adults for: prevention of postoperative nausea and vomiting (PONV), either alone or in combination with an antiemetic of a different class. treatment of PONV in patients who have received antiemetic prophylaxis with an agent of a different class or have not received prophylaxis. BARHEMSYS is a dopamine-2 (D 2 ) antagonist indicated in adults for: Prevention of postoperative nausea and vomiting (PONV), either alone or in combination with an antiemetic of a different class. ( 1 ) Treatment of PONV in patients who have received antiemetic prophylaxis with an agent of a different class or have not received prophylaxis. ( 1 )",amisulpride,200,True,10,NCT00126009 | NCT00304616 | NCT00956189 | NCT01454453 | NCT01498770 | NCT01795183 | NCT01972711 | NCT02926859 | NCT04002258 | NCT04446234,ACTIVE_NOT_RECRUITING | COMPLETED | TERMINATED | UNKNOWN,NA | PHASE1 | PHASE2 | PHASE4,"Alzheimer's Disease, Schizophrenia | Bipolar Disorder | Metabolic Syndrome X | Schizophrenia | Schizophrenia, Antipyretics Toxicity, Prolactin Excess",amisulpride,200,FDA_LABEL_EVIDENCE_FOUND,MODERATE_REGULATORY_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
386,2,Tier 2 — Consistent reversal,3,BRD-K21450440,benzthiazide,-0.140163,-27.125336,-8.960535,3,3,0,-12.075345,-8.960535,-27.125336,-90.000000,396,True,False,True,False,True,False,2343.000000,Benzthiazide,C15H14ClN3O4S3,431.900000,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,"InChI=1S/C15H14ClN3O4S3/c16-11-6-12-14(7-13(11)25(17,20)21)26(22,23)19-15(18-12)9-24-8-10-4-2-1-3-5-10/h1-7H,8-9H2,(H,18,19)(H2,17,20,21)",NDTSRXAMMQDVSW-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,1,NCT07444580,RECRUITING,PHASE1,Prion Disease,benzthiazide,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
387,2,Tier 2 — Consistent reversal,3,BRD-K39915878,loxapine,-0.317125,-8.951166,-34.779903,3,3,0,-14.682731,-8.951166,-34.779903,-90.000000,397,True,False,True,False,True,False,3964.000000,Loxapine,C18H18ClN3O,327.800000,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,"InChI=1S/C18H18ClN3O/c1-21-8-10-22(11-9-21)18-14-12-13(19)6-7-16(14)23-17-5-3-2-4-15(17)20-18/h2-7,12H,8-11H2,1H3",XJGVXQDUIWGIRW-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,False,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,True,NDA017658,TEVA BRANDED PHARM,001,Discontinued,CONCENTRATE,ORAL,LOXAPINE HYDROCHLORIDE,loxapine,200,True,LOXAPINE,Loxapine,Coupler LLC,HUMAN PRESCRIPTION DRUG,ORAL,"INDICATIONS AND USAGE Loxapine Capsules, USP are indicated for the treatment of schizophrenia. The efficacy of loxapine in schizophrenia was established in clinical studies which enrolled newly hospitalized and chronically hospitalized acutely ill schizophrenic patients as subjects.",loxapine,200,True,10,NCT00543062 | NCT00628589 | NCT00789360 | NCT00873769 | NCT00889837 | NCT01193816 | NCT02184767 | NCT02582736 | NCT02600741 | NCT04148963,COMPLETED | UNKNOWN,PHASE1 | PHASE3 | PHASE4,"BiPolar | Cardiotoxicity | Chronic Obstructive Pulmonary Disease | Healthy | Patients With Schizophrenia and Acute Agitation | Psychomotor Agitation, Schizophrenia, Bipolar Disorder | Psychotic Disorders, Schizophrenia, Schizoaffective Disorder, Bipolar Disorder, Diabetes Mellitus, Type 2 | Restlessness | Schizophrenia | Smoking, Cigarette",loxapine,200,FDA_APPLICATION_AND_LABEL_EVIDENCE,HIGH_REGULATORY_EVIDENCE,False,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
