priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status
119,2,Tier 2 — Consistent reversal,3,BRD-A61189834,BRD-A61189834,-53.654625,-42.752600,-10.253700,3,3,0,-35.553642,-42.752600,-53.654625,-90.000000,129,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
120,2,Tier 2 — Consistent reversal,3,BRD-K61106942,BRD-K61106942,-42.608530,-71.335480,-33.971480,3,3,0,-49.305163,-42.608530,-71.335480,-90.000000,130,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
122,2,Tier 2 — Consistent reversal,3,BRD-K28680267,BRD-K28680267,-1.317400,-71.556180,-42.157875,3,3,0,-38.343818,-42.157875,-71.556180,-90.000000,132,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
144,2,Tier 2 — Consistent reversal,3,BRD-K60218670,BRD-K60218670,-4.369274,-36.972008,-56.505604,3,3,0,-32.615629,-36.972008,-56.505604,-90.000000,154,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
157,2,Tier 2 — Consistent reversal,3,BRD-K52640952,BRD-K52640952,-48.073890,-33.945350,-28.508207,3,3,0,-36.842482,-33.945350,-48.073890,-90.000000,167,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
172,2,Tier 2 — Consistent reversal,3,BRD-U33728988,QL-X-138,-20.950630,-31.034119,-47.547672,3,3,0,-33.177474,-31.034119,-47.547672,-90.000000,182,True,False,True,False,True,False,73707530.000000,"N-[2-methyl-5-[2-oxo-9-(1H-pyrazol-4-yl)-1-benzo[h][1,6]naphthyridinyl]phenyl]-2-propenamide",C25H19N5O2,421.4,CC1=C(C=C(C=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CNN=C5)NC(=O)C=C,CC1=C(C=C(C=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CNN=C5)NC(=O)C=C,"InChI=1S/C25H19N5O2/c1-3-23(31)29-22-11-19(7-4-15(22)2)30-24(32)9-6-17-12-26-21-8-5-16(10-20(21)25(17)30)18-13-27-28-14-18/h3-14H,1H2,2H3,(H,27,28)(H,29,31)",JMVDIGHUQAXWIE-UHFFFAOYSA-N,resolved,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,True,True,True,False,RESEARCH_COMPOUND_REVIEW
199,2,Tier 2 — Consistent reversal,3,BRD-K70693222,BRD-K70693222,-1.133989,-43.522636,-27.844193,3,3,0,-24.166939,-27.844193,-43.522636,-90.000000,209,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
212,2,Tier 2 — Consistent reversal,3,BRD-K13872703,BRD-K13872703,-44.363820,-26.296307,-12.425304,3,3,0,-27.695144,-26.296307,-44.363820,-90.000000,222,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
218,2,Tier 2 — Consistent reversal,3,BRD-K77690805,BRD-K77690805,-1.726568,-52.502760,-25.429200,3,3,0,-26.552843,-25.429200,-52.502760,-90.000000,228,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
223,2,Tier 2 — Consistent reversal,3,BRD-K88761633,BRD-K88761633,-16.914759,-70.868250,-24.508900,3,3,0,-37.430636,-24.508900,-70.868250,-90.000000,233,True,False,True,False,True,False,,,,,,,,,not_found,research_or_tool_compound,"Compound name resembles an internal, medicinal-chemistry, or research identifier.",NOT_VERIFIED,,,False,False,True,False,RESEARCH_COMPOUND_REVIEW
