query,signature_id,pert_id,pert_iname,pert_type,cell_id,pert_idose,pert_itime,is_touchstone,is_exemplar,connectivity
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K93258693-001-05-8:10,BRD-K93258693,GW-9662,trt_cp,HCC515,10 �M,24 h,1,0,0.35343173
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K24240364-003-02-1:10,BRD-K24240364,GYKI-52466,trt_cp,HCC515,10 �M,24 h,1,0,-0.3127404
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K93280214-004-02-3:10,BRD-K93280214,gabazine,trt_cp,HCC515,10 �M,24 h,1,0,0.24070488
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K59256312-066-04-1:10,BRD-K59256312,gabexate,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K49890030-236-01-6:10,BRD-K49890030,gavestinel,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-A36151937-001-01-2:10,BRD-A36151937,genistein,trt_cp,HCC515,10 �M,24 h,1,0,0.25050312
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K92758126-001-06-3:10,BRD-K92758126,MD-920,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K36927236-001-15-1:10,BRD-K36927236,glibenclamide,trt_cp,HCC515,10 �M,24 h,1,1,0.31667793
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K34776109-001-03-4:10,BRD-K34776109,glimepiride,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K42693031-001-01-8:10,BRD-K42693031,glimepiride,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K80396088-001-03-9:10,BRD-K80396088,gliquidone,trt_cp,HCC515,10 �M,24 h,1,0,-0.33305705
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K54771420-001-03-2:10,BRD-K54771420,glycocholic-acid,trt_cp,HCC515,10 �M,24 h,1,0,-0.31311786
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K62736196-015-03-7:10,BRD-K62736196,guanaben-acetate,trt_cp,HCC515,10 �M,24 h,1,0,0.22093238
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K67847053-015-08-8:10,BRD-K67847053,guanabenz,trt_cp,HCC515,10 �M,24 h,1,0,0.34216332
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-A86109770-001-01-9:10,BRD-A86109770,guggulsterone,trt_cp,HCC515,10 �M,24 h,1,0,0.4277376
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K27737647-300-01-4:10,BRD-K27737647,H-89,trt_cp,HCC515,10 �M,24 h,1,0,-0.29640695
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K18742343-001-03-2:10,BRD-K18742343,H-8,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K70577657-300-04-1:10,BRD-K70577657,H-9,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K05434375-001-03-2:10,BRD-K05434375,HA-1004,trt_cp,HCC515,10 �M,24 h,1,0,-0.3644723
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-A24429032-003-01-6:10,BRD-A24429032,BE-2254,trt_cp,HCC515,10 �M,24 h,1,0,-0.21165194
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-A00267231-001-01-1:10,BRD-A00267231,hemado,trt_cp,HCC515,10 �M,24 h,1,0,0.18988082
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K81209159-001-03-7:10,BRD-K81209159,herniarin,trt_cp,HCC515,10 �M,24 h,1,0,0.30593896
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K95885906-001-01-8:10,BRD-K95885906,quercetagetin,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-A34751532-001-04-4:10,BRD-A34751532,homosalate,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K02715688-001-01-3:10,BRD-K02715688,"hydrastine-(1r,-9s)",trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-A75172220-001-03-2:10,BRD-A75172220,hydrocortisone,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-A25143711-001-01-4:10,BRD-A25143711,hydrocortisone-valerate,trt_cp,HCC515,10 �M,24 h,1,0,-0.3010525
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-A06390036-001-03-8:10,BRD-A06390036,hydroquinidine,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC004_HCC515_24H:BRD-K29673530-001-03-9:10,BRD-K29673530,hypericin,trt_cp,HCC515,10 �M,24 h,1,0,0.3282163
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K81709173-001-03-8:10,BRD-K81709173,halcinonide,trt_cp,HCC515,10 �M,24 h,1,0,-0.27727586
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K07996107-001-03-3:10,BRD-K07996107,harpagoside,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K38903228-001-02-8:10,BRD-K38903228,hesperidin,trt_cp,HCC515,10 �M,24 h,1,0,-0.3515836
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-A97730597-003-03-2:10,BRD-A97730597,hexylcaine,trt_cp,HCC515,10 �M,24 h,1,0,0.27045533
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K37691127-001-02-2:10,BRD-K37691127,hinokitiol,trt_cp,HCC515,10 �M,24 h,1,0,0.30583453
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-K71003802-001-02-9:10,BRD-K71003802,hippeastrine,trt_cp,HCC515,10 �M,24 h,1,0,0.2712564
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K07325606-001-02-3:10,BRD-K07325606,hispidin,trt_cp,HCC515,10 �M,24 h,1,0,0.35981455
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K76674262-001-01-7:10,BRD-K76674262,homoharringtonine,trt_cp,HCC515,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC003_HCC515_24H:BRD-A77722753-003-02-5:10,BRD-A77722753,hydralazine,trt_cp,HCC515,10 �M,24 h,1,0,0.232672
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-K92726801-003-02-7:10,BRD-K92726801,hydrastinine,trt_cp,HCC515,10 �M,24 h,1,0,0.2712341
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K40530731-001-02-5:10,BRD-K40530731,hyoscyamine,trt_cp,HCC515,10 �M,24 h,1,0,-0.30713853
ATLAS_SIG_B_TOP100,CPC002_HCC515_24H:BRD-K85383046-001-02-5:10,BRD-K85383046,IAA-94,trt_cp,HCC515,10 �M,24 h,1,0,-0.22829074
ATLAS_SIG_B_TOP100,CPC001_HCC515_24H:BRD-A20527803-001-01-2:10,BRD-A20527803,IB-MECA,trt_cp,HCC515,10 �M,24 h,1,0,0.0
