pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,worst_connectivity,n_negative_signatures
BRD-K26160755,RS-45041-190,5,-0.3212084,-0.313899358,-0.37623787,-0.20013362,5
BRD-K49865102,PD-0325901,14,-0.32114573999999996,-0.32048198999999994,-0.36991012,-0.2501713,14
BRD-K71512533,SNS-314,2,-0.32106446,-0.32106446,-0.34489587,-0.29723305,2
BRD-A87719232,naproxen,4,-0.3209033,-0.2867887925,-0.33087105,-0.17447752,4
BRD-K80725821,RS-16566,8,-0.32084939,-0.30767319,-0.4217953,-0.19157761,8
BRD-K30743633,TCPOBOP,3,-0.32083675,-0.3193803533333333,-0.33967108,-0.29763323,3
BRD-K09859624,methantheline,13,-0.32073498,-0.3114537661538461,-0.38960728,-0.25661924,13
BRD-K63430059,methoxsalen,3,-0.3204035,-0.3174451166666667,-0.3827542,-0.24917765,3
BRD-K08996725,zolantidine,6,-0.32038198500000004,-0.3262284933333333,-0.421934,-0.24922699,6
BRD-K50422030,clomethiazole,2,-0.32025721,-0.32025721,-0.322672,-0.31784242,2
BRD-A03323675,ritonavir,2,-0.320212785,-0.320212785,-0.37687337,-0.2635522,2
BRD-A02990301,lofexidine,4,-0.320020515,-0.335883175,-0.4416178,-0.26187387,4
BRD-K92015269,GBR-12783,4,-0.31993180499999996,-0.3102498875,-0.32970792,-0.27142802,4
BRD-K29530284,amlexanox,6,-0.31966650500000005,-0.316794165,-0.39564008,-0.2437399,6
BRD-A32161980,carbetocin,5,-0.31964067,-0.303709872,-0.34401023,-0.2549541,5
BRD-K56450366,NSC-94258,2,-0.31958483000000004,-0.31958483000000004,-0.33721536,-0.3019543,2
BRD-K17378184,BP-897,4,-0.31956213499999997,-0.3247764775,-0.37710992,-0.28287172,4
BRD-K13356952,methazolamide,10,-0.319552,-0.315029872,-0.3900689,-0.25866157,10
BRD-K97118047,"4,5,6,7-tetrabromobenzotriazole",4,-0.31953849,-0.3024295125,-0.38234755,-0.18829352,4
BRD-A98702003,carbenoxolone,5,-0.31953704,-0.31508851,-0.34598404,-0.27639246,5
BRD-K63265447,docetaxel,2,-0.31946194,-0.31946194,-0.33158496,-0.30733892,2
BRD-K49371609,PIK-75,4,-0.31945659000000004,-0.32160878000000004,-0.39728174,-0.2502402,4
BRD-K02275692,cefotiam,6,-0.31934802500000004,-0.3083856016666667,-0.37527996,-0.20894895,6
