query,signature_id,pert_id,pert_iname,pert_type,cell_id,pert_idose,pert_itime,is_touchstone,is_exemplar,connectivity
ATLAS_SIG_B_TOP100,CPC014_PC3_6H:BRD-K43164539-001-05-7:10,BRD-K43164539,cholic-acid,trt_cp,PC3,10 �M,6 h,1,1,-0.42459068
ATLAS_SIG_B_TOP100,CPC011_VCAP_24H:BRD-K06557128-001-03-9:10,BRD-K06557128,voriconazole,trt_cp,VCAP,10 �M,24 h,1,0,-0.42419046
ATLAS_SIG_B_TOP100,CPC020_VCAP_24H:BRD-K74763371-001-01-8:10,BRD-K74763371,bosentan,trt_cp,VCAP,10 �M,24 h,1,0,-0.4233677
ATLAS_SIG_B_TOP100,CPC004_A375_6H:BRD-K35941380-050-17-0:10,BRD-K35941380,methysergide,trt_cp,A375,10 �M,6 h,1,0,-0.42305082
ATLAS_SIG_B_TOP100,CPC020_VCAP_6H:BRD-K87226815-001-14-8:10,BRD-K87226815,cycloserine-(d),trt_cp,VCAP,10 �M,6 h,1,0,-0.4230284
ATLAS_SIG_B_TOP100,CPC003_VCAP_6H:BRD-K19360254-001-01-3:10,BRD-K19360254,ergocornine,trt_cp,VCAP,10 �M,6 h,1,1,-0.42298132
ATLAS_SIG_B_TOP100,CPC014_VCAP_24H:BRD-K84639753-066-01-9:10,BRD-K84639753,safinamide,trt_cp,VCAP,10 �M,24 h,1,0,-0.42293173
ATLAS_SIG_B_TOP100,CPC018_A549_24H:BRD-K56596464-004-05-7:10,BRD-K56596464,QX-314,trt_cp,A549,10 �M,24 h,1,0,-0.42285013
ATLAS_SIG_B_TOP100,CPC005_VCAP_24H:BRD-K65146499-001-14-7:10,BRD-K65146499,nabumetone,trt_cp,VCAP,10 �M,24 h,1,1,-0.4228488
ATLAS_SIG_B_TOP100,CPC015_MCF7_24H:BRD-K96319534-001-01-7:10,BRD-K96319534,phentermine,trt_cp,MCF7,10 �M,24 h,1,0,-0.42273343
ATLAS_SIG_B_TOP100,CPC017_A549_24H:BRD-K59650319-003-01-7:10,BRD-K59650319,YM-298198,trt_cp,A549,10 �M,24 h,1,0,-0.42254406
ATLAS_SIG_B_TOP100,CPC003_VCAP_6H:BRD-K88429204-001-18-7:10,BRD-K88429204,pyrimethamine,trt_cp,VCAP,10 �M,6 h,1,1,-0.42251158
ATLAS_SIG_B_TOP100,CPC006_MCF7_6H:BRD-A73680854-001-01-3:10,BRD-A73680854,PT-630,trt_cp,MCF7,10 �M,6 h,1,0,-0.42250454
ATLAS_SIG_B_TOP100,CPC005_MCF7_24H:BRD-K93188295-300-01-4:10,BRD-K93188295,ARC-239,trt_cp,MCF7,10 �M,24 h,1,1,-0.4223544
ATLAS_SIG_B_TOP100,CPC011_VCAP_6H:BRD-K60160658-003-07-0:10,BRD-K60160658,tiagabine,trt_cp,VCAP,10 �M,6 h,1,1,-0.42212814
ATLAS_SIG_B_TOP100,CPC003_HA1E_6H:BRD-K63151507-001-01-6:10,BRD-K63151507,MNITMT,trt_cp,HA1E,10 �M,6 h,1,1,-0.42202765
ATLAS_SIG_B_TOP100,CPC003_VCAP_24H:BRD-K08996725-313-01-7:10,BRD-K08996725,zolantidine,trt_cp,VCAP,10 �M,24 h,1,0,-0.421934
ATLAS_SIG_B_TOP100,CPC002_PC3_6H:BRD-K80725821-300-01-1:10,BRD-K80725821,RS-16566,trt_cp,PC3,10 �M,6 h,1,1,-0.4217953
ATLAS_SIG_B_TOP100,HOG001_MCF7_6H:BRD-K63923597-001-05-0:1.11,BRD-K63923597,barasertib-HQPA,trt_cp,MCF7,1 �M,6 h,1,0,-0.4214724
