query,pert_id,pert_iname,pert_type,tau
ATLAS_SIG_B_TOP100,BRD-A75552914,isoxicam,trt_cp,-69.17119
ATLAS_SIG_B_TOP100,BRD-K77133231,PD-169316,trt_cp,-69.04251
ATLAS_SIG_B_TOP100,BRD-K05658747,raltegravir,trt_cp,-69.030594
ATLAS_SIG_B_TOP100,BRD-K46862739,metyrapone,trt_cp,-68.876465
ATLAS_SIG_B_TOP100,BRD-K83963101,MLN-8054,trt_cp,-68.58604
ATLAS_SIG_B_TOP100,BRD-K61217870,N-(3-acetamidophenyl)-3-chlorobenzamide,trt_cp,-68.56732
ATLAS_SIG_B_TOP100,BRD-K44779798,miglitol,trt_cp,-68.49797
ATLAS_SIG_B_TOP100,BRD-K16508793,diazepam,trt_cp,-68.46609
ATLAS_SIG_B_TOP100,BRD-K57033106,tripelennamine,trt_cp,-68.27078
ATLAS_SIG_B_TOP100,BRD-A66395008,parthenolide,trt_cp,-68.24616
ATLAS_SIG_B_TOP100,BRD-K37846922,"3,3'-diindolylmethane",trt_cp,-68.230576
ATLAS_SIG_B_TOP100,BRD-K74765201,tomelukast,trt_cp,-68.07604
ATLAS_SIG_B_TOP100,BRD-K84639753,safinamide,trt_cp,-67.80315
ATLAS_SIG_B_TOP100,BRD-K11905747,spectinomycin,trt_cp,-67.43215
ATLAS_SIG_B_TOP100,BRD-K89046952,ciclacillin,trt_cp,-66.9463
ATLAS_SIG_B_TOP100,BRD-K57179821,crotamiton,trt_cp,-66.877205
ATLAS_SIG_B_TOP100,BRD-A17448384,beclometasone,trt_cp,-66.75397
ATLAS_SIG_B_TOP100,BRD-A41250306,cyclopenthiazide,trt_cp,-66.63342
ATLAS_SIG_B_TOP100,BRD-K08273968,griseofulvin,trt_cp,-66.57971
ATLAS_SIG_B_TOP100,BRD-K24576554,AT-9283,trt_cp,-66.24715
ATLAS_SIG_B_TOP100,BRD-A57457122,VU-0400071-3,trt_cp,-66.11276
ATLAS_SIG_B_TOP100,BRD-K16618170,BRD-K16618170,trt_cp,-65.60508
ATLAS_SIG_B_TOP100,BRD-A94793051,gestrinone,trt_cp,-65.46309
ATLAS_SIG_B_TOP100,BRD-K68558722,deracoxib,trt_cp,-65.361244
ATLAS_SIG_B_TOP100,BRD-K46142322,RS-67333,trt_cp,-65.3178
ATLAS_SIG_B_TOP100,BRD-K51485625,ritonavir,trt_cp,-65.31005
ATLAS_SIG_B_TOP100,BRD-A70461345,naloxone,trt_cp,-65.14291
ATLAS_SIG_B_TOP100,BRD-K05804044,AZ-628,trt_cp,-65.10859
ATLAS_SIG_B_TOP100,BRD-K16621777,enobosarm,trt_cp,-64.93557
ATLAS_SIG_B_TOP100,BRD-K96134740,kitasamycin,trt_cp,-64.56407
ATLAS_SIG_B_TOP100,BRD-K50720187,flupirtine,trt_cp,-64.430565
ATLAS_SIG_B_TOP100,BRD-K99451608,lopinavir,trt_cp,-64.13694
ATLAS_SIG_B_TOP100,BRD-A37817666,picrotoxin,trt_cp,-64.13039
ATLAS_SIG_B_TOP100,BRD-K68246049,TTNPB,trt_cp,-63.73111
ATLAS_SIG_B_TOP100,BRD-K97764662,PD-173074,trt_cp,-63.726395
ATLAS_SIG_B_TOP100,BRD-A30977374,nifedipine,trt_cp,-63.485985
ATLAS_SIG_B_TOP100,BRD-K43164539,cholic-acid,trt_cp,-63.466003
ATLAS_SIG_B_TOP100,BRD-K35559145,levomepromazine,trt_cp,-63.420815
ATLAS_SIG_B_TOP100,BRD-K70401845,erlotinib,trt_cp,-63.33068
ATLAS_SIG_B_TOP100,BRD-A34751532,homosalate,trt_cp,-63.235043
ATLAS_SIG_B_TOP100,BRD-K40213712,SAL-1,trt_cp,-63.043133
ATLAS_SIG_B_TOP100,BRD-A77349281,RK-682,trt_cp,-63.022438
ATLAS_SIG_B_TOP100,BRD-K97514127,vinorelbine,trt_cp,-62.754456
ATLAS_SIG_B_TOP100,BRD-K30570479,VU-0400195-3,trt_cp,-62.669506
ATLAS_SIG_B_TOP100,BRD-K92984783,melperone,trt_cp,-62.51078
ATLAS_SIG_B_TOP100,BRD-K61496577,flumetasone,trt_cp,-62.43299
ATLAS_SIG_B_TOP100,BRD-A55815733,phylloquinone,trt_cp,-62.428043
ATLAS_SIG_B_TOP100,BRD-A01787639,naftopidil,trt_cp,-62.313675
ATLAS_SIG_B_TOP100,BRD-K48300629,zonisamide,trt_cp,-62.1969
ATLAS_SIG_B_TOP100,BRD-A20589515,dihydroxyphenylglycine,trt_cp,-61.77539
ATLAS_SIG_B_TOP100,BRD-K80431395,triciribine,trt_cp,-61.75574
