rank,pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,weakest_connectivity,sd_connectivity,n_cells,cell_lines,doses,times,n_negative_signatures
98,BRD-K84036904,testosterone,1,-0.32807764,-0.32807764,-0.32807764,-0.32807764,0.0,1,A549,10 �M,6 h,1
99,BRD-M47793593,picrotoxin,2,-0.32802560999999997,-0.32802560999999997,-0.33895165,-0.31709957,0.015451753951030909,2,A549;PC3,10 �M,24 h,2
100,BRD-K13087974,CGP-52411,1,-0.32794356,-0.32794356,-0.32794356,-0.32794356,0.0,1,HCC515,10 �M,6 h,1
101,BRD-A81772229,simvastatin,1,-0.3277868,-0.3277868,-0.3277868,-0.3277868,0.0,1,A375,10 �M,6 h,1
102,BRD-K40742111,baeomycesic-acid,3,-0.32760483,-0.31905495,-0.34075886,-0.28880116,0.02701344079034177,2,HCC515;VCAP,10 �M,24 h;6 h,3
103,BRD-K75532464,FTI-276,15,-0.32758576,-0.31717486066666667,-0.44012222,-0.23606303,0.05043675573545947,2,A549;MCF7,1 nM;1 �M;10 nM;10 �M;100 nM;3 �M;500 nM,24 h;6 h,15
104,BRD-K73589491,nizatidine,9,-0.32756853,-0.33316527444444444,-0.4259143,-0.23030972,0.07483152087094923,6,A375;HCC515;HEPG2;HT29;MCF7;VCAP,10 �M,24 h;6 h,9
105,BRD-K50384076,"7,4'-dihydroxyflavone",1,-0.32730204,-0.32730204,-0.32730204,-0.32730204,0.0,1,MCF7,10 �M,24 h,1
106,BRD-K87049188,fusaric-acid,5,-0.32706225,-0.29188405,-0.352596,-0.2069186,0.06675899961355397,3,HA1E;PC3;VCAP,10 �M,24 h;6 h,5
107,BRD-K22227508,targinine,1,-0.3270173,-0.3270173,-0.3270173,-0.3270173,0.0,1,HA1E,10 �M,6 h,1
108,BRD-A49734948,foliosidine,1,-0.3265748,-0.3265748,-0.3265748,-0.3265748,0.0,1,HEPG2,10 �M,6 h,1
109,BRD-A30590053,MR-16728,6,-0.326524515,-0.322779365,-0.36989474,-0.24351078,0.04728164016097737,5,A549;HCC515;MCF7;PC3;VCAP,10 �M,24 h;6 h,6
110,BRD-A58564983,selamectin,6,-0.32631598500000003,-0.31577854499999997,-0.3788799,-0.21892682,0.05490690855684294,5,A549;HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,6
111,BRD-K41170226,deoxycholic-acid,3,-0.32628542,-0.3166272833333333,-0.34573096,-0.27786547,0.03494840319870184,3,A549;PC3;VCAP,10 �M,24 h;6 h,3
112,BRD-K01567962,pyrazolanthrone,5,-0.32611626,-0.292016244,-0.34201974,-0.22995508,0.05520304876488823,3,A375;MCF7;VCAP,1 �M;10 �M;100 nM,24 h;6 h,5
113,BRD-A41555725,chlortetracycline,5,-0.3259363,-0.317028066,-0.37389123,-0.25807038,0.045400411897975994,4,A375;A549;HT29;VCAP,10 �M,24 h;6 h,5
114,BRD-A83859836,tropisetron,5,-0.32566878,-0.317095748,-0.35005116,-0.26407278,0.032222428799476274,4,A375;HA1E;HCC515;MCF7,10 �M,24 h;6 h,5
115,BRD-K98493452,honokiol,2,-0.325531865,-0.325531865,-0.38092053,-0.2701432,0.07833140124473992,2,A549;PC3,10 �M,24 h;6 h,2
116,BRD-K99260425,etodolac,7,-0.3253621,-0.31757829857142855,-0.40582228,-0.20092376,0.06775609537672521,6,A549;HA1E;HEPG2;MCF7;PC3;VCAP,10 �M,24 h;6 h,7
117,BRD-K91691979,BRD-K91691979,6,-0.32470859500000004,-0.31764023166666666,-0.39242536,-0.2279,0.059210310091855595,6,A375;A549;HT29;MCF7;PC3;VCAP,10 �M,24 h;6 h,6
118,BRD-K00256256,BRD-K00256256,3,-0.32458103,-0.30961758,-0.34549177,-0.25877994,0.04525112144924257,3,MCF7;PC3;VCAP,10 �M,24 h;6 h,3
