query,signature_id,pert_id,pert_iname,pert_type,cell_id,pert_idose,pert_itime,is_touchstone,is_exemplar,connectivity
ATLAS_SIG_B_TOP100,HOG002_MCF7_24H:BRD-K27305650-001-10-9:0.013,BRD-K27305650,LY-294002,trt_cp,MCF7,10 nM,24 h,1,0,-0.2484409
ATLAS_SIG_B_TOP100,CPC015_A375_6H:BRD-K64514229-001-01-1:10,BRD-K64514229,toltrazuril,trt_cp,A375,10 �M,6 h,1,1,-0.24844053
ATLAS_SIG_B_TOP100,CPC011_A549_6H:BRD-K09963420-066-10-9:10,BRD-K09963420,saquinavir,trt_cp,A549,10 �M,6 h,1,1,-0.24841323
ATLAS_SIG_B_TOP100,CPC004_HA1E_6H:BRD-K21450440-001-08-8:10,BRD-K21450440,benzthiazide,trt_cp,HA1E,10 �M,6 h,1,1,-0.2484085
ATLAS_SIG_B_TOP100,PCLB002_HA1E_24H:BRD-K43797669:1.11,BRD-K43797669,genistein,trt_cp,HA1E,1.11 �M,24 h,1,0,-0.24837965
ATLAS_SIG_B_TOP100,CPC014_A375_6H:BRD-K19540840-001-02-9:10,BRD-K19540840,saracatinib,trt_cp,A375,10 �M,6 h,1,1,-0.24837309
ATLAS_SIG_B_TOP100,HOG001_MCF7_6H:BRD-A85860691-001-02-2:0.0045,BRD-A85860691,chaetocin,trt_cp,MCF7,1 nM,6 h,1,0,-0.24834564
ATLAS_SIG_B_TOP100,PCLB003_MCF7_24H:BRD-K18910433-001-26-7:1.11,BRD-K18910433,estradiol,trt_cp,MCF7,1.11 �M,24 h,1,0,-0.24832955
ATLAS_SIG_B_TOP100,CPC004_HEPG2_6H:BRD-A09472452-015-11-9:10,BRD-A09472452,flecainide,trt_cp,HEPG2,10 �M,6 h,1,1,-0.24832815
ATLAS_SIG_B_TOP100,CPC016_A549_24H:BRD-K80970344-201-02-9:10,BRD-K80970344,pyrrolidine-dithiocarbamate,trt_cp,A549,10 �M,24 h,1,0,-0.24832381
ATLAS_SIG_B_TOP100,CPC004_VCAP_6H:BRD-K45296539-003-01-0:10,BRD-K45296539,ZD-7114,trt_cp,VCAP,10 �M,6 h,1,1,-0.24832207
ATLAS_SIG_B_TOP100,CPC003_PC3_6H:BRD-A43882281-001-11-4:10,BRD-A43882281,pinacidil,trt_cp,PC3,10 �M,6 h,1,1,-0.24831781
