dataset_id,sample_n,currently_resistant_n,currently_sensitive_parental_n,currently_ambiguous_n,currently_unresolved_n,resistance_hint_counts,control_hint_counts,ambiguous_short_token_counts,top_metadata_tokens
GEO:GSE237605,40,20,20,0,0,bt474r:20 | resistant:20,parental:20,hr:40,bt474:80 | hr:78 | atac-seq:40 | type:40 | epithelial:40 | time:40 | bt474r:40 | sensitive_or_parental:20 | resistant:20 | s0_baseline:2 | 0hr:2 | s1_con:2 | s1_hrg:2 | s1_egf:2 | s12_con:2 | s12_hrg:2 | s12_egf:2 | s24_con:2 | s24_hrg:2 | s24_egf:2 | r0_baseline:2 | r1_con:2 | r1_hrg:2 | r1_egf:2 | r12_con:2
GEO:GSE237606,40,20,20,0,0,bt474r:20 | resistant:20,parental:20,hr:40,hr:80 | bt474:80 | type:40 | epithelial:40 | time:40 | bt474r:40 | sensitive_or_parental:20 | resistant:20 | s0_baseline:2 | s1_con:2 | s1_hrg:2 | s1_egf:2 | s12_con:2 | s12_hrg:2 | s12_egf:2 | s24_con:2 | s24_hrg:2 | s24_egf:2 | r0_baseline:2 | r1_con:2 | r1_hrg:2 | r1_egf:2 | r12_con:2 | r12_hrg:2 | r12_egf:2
GEO:GSE121105,21,6,3,0,0,trastuzumab-resistant:6 | resistant:6,sensitive:9 | parental:3,,bt474:57 | her2:42 | background:21 | type:21 | sensitivity:21 | antibodies:21 | trastuzumab:21 | days:18 | excluded:12 | no:12 | prior:12 | harvesting:12 | sensitive:9 | g/ml:9 | pertuzumab:6 | trastuzumab-resistant:6 | resistant:6 | pertuzumab-resistant:6 | none:3 | sensitive_or_parental:3 | bt-tr1:3 | bt-tr2:3 | bt-tpr1:3 | bt-tpr2:3 | bt474_replicate1:1
GEO:GSE148186,16,0,8,8,0,,control:16 | parental:8,,osmi-1:32 | ogt:24 | inhibitor:24 | mcf7:16 | were:16 | either:16 | or:16 | dmso:16 | at:16 | m:16 | concentration:16 | hours:16 | biological:16 | tamr:16 | ctrl:8 | tamoxifen-sensitive:8 | sensitive_or_parental:8 | technical:8 | tamoxifen-resistant:8 | ambiguous:8 | 2_a:3 | 2_b:3 | 3_a:1 | 3_b:1
GEO:GSE132055,15,0,0,15,0,resistance:15 | resistant:15,parental:30 | sensitive:9,,lapatinib:72 | m:60 | were:45 | resistant:36 | plus:36 | trastuzumab:36 | p:30 | their:30 | or:30 | g/ml:30 | growth:30 | anti-her2:24 | au565:20 | skbr3:20 | sensitive:18 | parental:18 | l:18 | model:15 | resistance:15 | her2:15 | her2-targeted:15 | therapy:15 | generated:15 | by:15 | long:15
GEO:GSE189160,12,6,6,0,0,resistant:6,parental:6 | sensitive:6,,bt474:24 | background:12 | type:12 | resistant:12 | antibody:12 | anti-m6a:6 | sensitive:6 | sensitive_or_parental:6 | hr-1-ip:1 | hs-1-ip:1 | hr-1-input:1 | hs-1-input:1 | hr-2-ip:1 | hs-2-ip:1 | hr-2-input:1 | hs-2-input:1 | hr-3-ip:1 | hs-3-ip:1 | hr-3-input:1 | hs-3-input:1
GEO:GSE197822,12,6,6,0,0,resistant:6 | bt474r:3 | skbr3r:3,parental:6,,bt474:24 | skbr3:24 | biological:12 | 6-well:12 | plates:12 | were:12 | rinsed:12 | pbs:12 | scrapped:12 | centrifuged:12 | placed:12 | into:12 | trizol:12 | solution:12 | mirna:12 | expression:12 | data:12 | bt474r:12 | skbr3r:12 | sensitive_or_parental:6 | resistant:6 | rep1:4 | rep2:4 | rep3:4
GEO:GSE230326,12,0,12,0,0,,parental:24,,bt474:48 | were:36 | using:36 | parental:30 | brd8:30 | ko:30 | neratinib:30 | 200nm:30 | 4h:30 | total:24 | was:24 | kit:24 | genotype:12 | then:12 | extracted:12 | e:12 | z:12 | n:12 | omega:12 | bio-tek:12 | sequencing:12 | libraries:12 | prepared:12 | illumina:12 | truseq:12
GEO:GSE300749,12,0,0,12,0,trastuzumab-resistant:12 | resistance:12,trastuzumab-sensitive:12 | control:12 | wt:9,tr:12,cb2r:111 | were:60 | was:60 | tr:48 | by:48 | guide:48 | lentiviral:48 | ko:39 | ts:36 | usa:36 | plasmid:36 | addgene:36 | via:36 | type:24 | lines:24 | bt474:24 | knockout:24 | generated:24 | using:24 | atc:24 | cas9:24 | scramble:24 | aag:24 | tcg:24 | cga:24
GEO:GSE15043,10,8,2,0,0,herceptin-resistant:8 | resistant clone:8 | resistant:8,parental:2,,clone:32 | herceptin-resistant:24 | bt/herr1:16 | bt/herr0:16 | bt474:10 | type:10 | gene:10 | expression:10 | data:10 | wildtype:8 | 0c:8 | resistant:8 | 0e:8 | 2d:8 | 2j:8 | rep1:5 | rep2:5 | sensitive_or_parental:2
GEO:GSE89216,8,4,0,4,0,resistant:8,sensitive:4,,bt-474:32 | bt474:16 | resistant:16 | lines:16 | were:16 | trastuzumab:16 | trastuzumab-conditioned:8 | r:8 | established:8 | by:8 | culturing:8 | appropriate:8 | media:8 | supplemented:8 | g/ml:8 | recombinant:8 | humanized:8 | monoclonal:8 | her2:8 | antibody:8 | herceptin:8 | genentech:8 | usa:8 | was:8 | dissolved:8
GEO:GSE114575,5,1,1,0,0,resistant:1,parental:1,,index:10 | resist:8 | tissue:5 | taga:5 | hci:5 | reference:5 | name:5 | skbr3:4 | sequential:4 | excluded:3 | her/lap:3 | lap/her:3 | her/trastuz:2 | lap/lapatinib:2 | 10705x1:1 | ttaggc:1 | sensitive_or_parental:1 | 10705x2:1 | cagatc:1 | her:1 | resistant:1 | 10705x3:1 | agtcaa:1 | lap:1 | 10705x4:1
GEO:GSE230327,4,0,4,0,0,,parental:4 | control:4,,bt474:20 | were:20 | fulvestrant:20 | neratinib:20 | single:12 | using:12 | sequencing:12 | dmso:10 | as:8 | nm:8 | 200nm:8 | or:8 | both:8 | plus:8 | 4h:8 | was:8 | center:8 | libraries:8 | according:8 | manufacturer:8 | s:8 | 10x:8 | genomics:8 | illumina:8 | per:8
GEO:GSE83608,4,0,0,4,0,resistant:4,parental:4,,bt474:16 | were:8 | resistant:6 | combination:5 | strain:4 | phenotype:4 | derivatives:4 | both:4 | p:4 | lines:4 | her-targeted:4 | therapies:4 | derived:4 | independently:4 | gradually:4 | increasing:4 | doses:4 | until:4 | resume:4 | growth:4 | presence:4 | m:4 | l:4 | g/ml:4 | t:4
GEO:GSE107473,3,0,0,3,0,trastuzumab-resistant:1,trastuzumab-sensitive:1,,skbr3:5 | type:3 | tissue:3 | ambiguous:3 | hbl-100:2 | epithelial:2 | adenocarcinoma:2 | jimt-1:2 | normal:1 | trastuzumab-sensitive:1 | trastuzumab-resistant:1
GEO:GSE123754,2,1,1,0,0,trastuzumab-resistant:2 | resistant:2,parental:4 | trastuzumab-sensitive:1,,sk:8 | were:6 | trastuzumab:6 | m:6 | concentration:6 | trastuzumab-resistant:5 | sktr:5 | her2-positive:4 | months:4 | trastuzumab-sensitive:3 | resistant:3 | skbr3:3 | model:2 | type:2 | gender:2 | female:2 | developed:2 | by:2 | exposing:2 | continuously:2 | herceptin:2 | hoffmann-la:2 | roche:2 | pharma:2 | starting:2
GEO:GSE17630,2,0,1,1,0,resistant:1,parental:1 | sensitive:1,,skbr3:4 | tissue:2 | technical:2 | t100:1 | resistant:1 | trastuzumab:1 | lapatinib:1 | skbr3_t100:1 | genome/variation:1 | her2:1 | overexpressing:1 | skbr3_ds:1 | ambiguous:1 | t0:1 | sensitive:1 | skbr3_t0:1 | skbr3_norm:1 | dye:1 | swapped:1 | sensitive_or_parental:1
GEO:GSE262860,2,0,2,0,0,,parental:2 | control:2,,tumor:6 | generation:6 | tissue:6 | 6th:4 | no:4 | type:2 | mammary:2 | epithelial:2 | genotype:2 | sensitive_or_parental:2 | pdx-m1:1 | j000100674:1 | pdx-m2:1 | j000111056:1
