gene_set,source,term_id,term_name,FDR,term_size,intersection_size,precision,recall
ALL,GO:BP,GO:0030001,metal ion transport,0.004048099436209494,860,22,0.1,0.02558139534883721
ALL,GO:BP,GO:0070488,neutrophil aggregation,0.004048099436209494,2,2,0.00909090909090909,1.0
ALL,GO:BP,GO:0045926,negative regulation of growth,0.0043511347115418805,221,10,0.045454545454545456,0.04524886877828054
ALL,GO:BP,GO:0007166,cell surface receptor signaling pathway,0.0045517476029962095,2834,50,0.22727272727272727,0.017642907551164433
ALL,GO:BP,GO:0019216,regulation of lipid metabolic process,0.0045517476029962095,314,12,0.05454545454545454,0.03821656050955414
ALL,GO:BP,GO:1902893,regulation of miRNA transcription,0.004852133327916482,75,6,0.02727272727272727,0.08
ALL,GO:BP,GO:0003018,vascular process in circulatory system,0.004894641630079388,270,11,0.05,0.040740740740740744
ALL,GO:BP,GO:0002685,regulation of leukocyte migration,0.004959570671875356,226,10,0.045454545454545456,0.04424778761061947
ALL,GO:BP,GO:0090287,regulation of cellular response to growth factor stimulus,0.004959570671875356,318,12,0.05454545454545454,0.03773584905660377
ALL,GO:BP,GO:0061614,miRNA transcription,0.005046887507155259,76,6,0.02727272727272727,0.07894736842105263
ALL,GO:BP,GO:1901698,response to nitrogen compound,0.005095932760454519,941,23,0.10454545454545454,0.024442082890541977
ALL,GO:BP,GO:0001944,vasculature development,0.005120545557572359,758,20,0.09090909090909091,0.026385224274406333
ALL,GO:BP,GO:1902894,negative regulation of miRNA transcription,0.0056602032986767595,27,4,0.01818181818181818,0.14814814814814814
ALL,GO:BP,GO:0035357,peroxisome proliferator activated receptor signaling pathway,0.0056602032986767595,27,4,0.01818181818181818,0.14814814814814814
