gene_set,source,term_id,term_name,FDR,term_size,intersection_size,precision,recall
ALL,GO:BP,GO:0098609,cell-cell adhesion,4.024360311557965e-06,965,31,0.1409090909090909,0.03212435233160622
ALL,GO:BP,GO:0042221,response to chemical,5.812967974959197e-06,3863,74,0.33636363636363636,0.019156096298213823
ALL,GO:BP,GO:0048468,cell development,6.32307539915513e-06,2842,60,0.2727272727272727,0.0211118930330753
ALL,GO:BP,GO:0007165,signal transduction,7.065560865547431e-06,6063,101,0.4590909090909091,0.016658419924129968
ALL,GO:BP,GO:0048583,regulation of response to stimulus,9.475773515696233e-06,3993,75,0.3409090909090909,0.018782870022539443
ALL,GO:BP,GO:0065008,regulation of biological quality,1.0742277270945856e-05,2963,61,0.2772727272727273,0.020587242659466758
ALL,GO:BP,GO:0003008,system process,1.5099589016671401e-05,2290,51,0.2318181818181818,0.0222707423580786
ALL,GO:BP,GO:0009966,regulation of signal transduction,2.293975898820756e-05,3031,61,0.2772727272727273,0.020125371164632134
ALL,GO:BP,GO:0051239,regulation of multicellular organismal process,3.4617251767789096e-05,2923,59,0.2681818181818182,0.020184741703729046
ALL,GO:BP,GO:0003013,circulatory system process,3.4617251767789096e-05,595,22,0.1,0.03697478991596639
ALL,GO:BP,GO:0048585,negative regulation of response to stimulus,3.5628137870665797e-05,1693,41,0.18636363636363637,0.024217365623154165
ALL,GO:BP,GO:0048513,animal organ development,4.1532311017763506e-05,3018,60,0.2727272727272727,0.019880715705765408
ALL,GO:BP,GO:0009887,animal organ morphogenesis,6.71858363113011e-05,1000,29,0.1318181818181818,0.029
ALL,GO:BP,GO:0030195,negative regulation of blood coagulation,8.001750324911842e-05,50,7,0.031818181818181815,0.14
ALL,GO:BP,GO:1901700,response to oxygen-containing compound,8.814799054234297e-05,1632,39,0.17727272727272728,0.02389705882352941
ALL,GO:BP,GO:1900047,negative regulation of hemostasis,8.814799054234297e-05,51,7,0.031818181818181815,0.13725490196078433
ALL,GO:BP,GO:0072359,circulatory system development,8.814799054234297e-05,1135,31,0.1409090909090909,0.027312775330396475
ALL,GO:BP,GO:0050819,negative regulation of coagulation,0.00012551038199148292,54,7,0.031818181818181815,0.12962962962962962
ALL,GO:BP,GO:0009719,response to endogenous stimulus,0.00012842428033955368,1467,36,0.16363636363636364,0.024539877300613498
ALL,GO:BP,GO:0007156,homophilic cell-cell adhesion,0.00014533554691026902,169,11,0.05,0.0650887573964497
ALL,GO:BP,GO:0048589,developmental growth,0.0001556262349959061,661,22,0.1,0.03328290468986384
ALL,GO:BP,GO:0030155,regulation of cell adhesion,0.00019986405483378048,780,24,0.10909090909090909,0.03076923076923077
ALL,GO:BP,GO:0048732,gland development,0.00021083867130460034,425,17,0.07727272727272727,0.04
ALL,GO:BP,GO:0050900,leukocyte migration,0.0002606746326513267,386,16,0.07272727272727272,0.04145077720207254
ALL,GO:BP,GO:0044057,regulation of system process,0.0003668905977189239,543,19,0.08636363636363636,0.034990791896869246
ALL,GO:BP,GO:0035239,tube morphogenesis,0.00043207131112216125,877,25,0.11363636363636363,0.028506271379703536
ALL,GO:BP,GO:0071495,cellular response to endogenous stimulus,0.00043207131112216125,1238,31,0.1409090909090909,0.025040387722132473
ALL,GO:BP,GO:0030030,cell projection organization,0.00045080213169682053,1628,37,0.16818181818181818,0.022727272727272728
ALL,GO:BP,GO:0030193,regulation of blood coagulation,0.0004936172230803948,68,7,0.031818181818181815,0.10294117647058823
ALL,GO:BP,GO:0048646,anatomical structure formation involved in morphogenesis,0.0005170263898158953,1190,30,0.13636363636363635,0.025210084033613446
ALL,GO:BP,GO:0008015,blood circulation,0.0005408477358928046,511,18,0.08181818181818182,0.03522504892367906
ALL,GO:BP,GO:0120036,plasma membrane bounded cell projection organization,0.0005520836409564566,1582,36,0.16363636363636364,0.022756005056890013
ALL,GO:BP,GO:0050789,regulation of biological process,0.0005520836409564566,12397,161,0.7318181818181818,0.012987012987012988
ALL,GO:BP,GO:1900046,regulation of hemostasis,0.0005528060149471905,70,7,0.031818181818181815,0.1
ALL,GO:BP,GO:0061045,negative regulation of wound healing,0.0005985028098007623,71,7,0.031818181818181815,0.09859154929577464
ALL,GO:BP,GO:0009725,response to hormone,0.0006186131303740334,904,25,0.11363636363636363,0.02765486725663717
ALL,GO:BP,GO:0035295,tube development,0.0007283374892880517,1094,28,0.12727272727272726,0.025594149908592323
ALL,GO:BP,GO:0042592,homeostatic process,0.0007470242898039087,1677,37,0.16818181818181818,0.022063208109719738
ALL,GO:BP,GO:0016049,cell growth,0.0007593648878488392,478,17,0.07727272727272727,0.03556485355648536
ALL,GO:BP,GO:0050818,regulation of coagulation,0.0008739817890162332,76,7,0.031818181818181815,0.09210526315789473
ALL,GO:BP,GO:0065007,biological regulation,0.0008853645388550496,12804,164,0.7454545454545455,0.012808497344579818
ALL,GO:BP,GO:0007167,enzyme-linked receptor protein signaling pathway,0.0008853645388550496,988,26,0.11818181818181818,0.02631578947368421
ALL,GO:BP,GO:0040008,regulation of growth,0.0008897941708272105,590,19,0.08636363636363636,0.03220338983050847
ALL,GO:BP,GO:0048812,neuron projection morphogenesis,0.0009494825433676772,648,20,0.09090909090909091,0.030864197530864196
ALL,GO:BP,GO:0022612,gland morphogenesis,0.0009494825433676772,107,8,0.03636363636363636,0.07476635514018691
ALL,GO:BP,GO:0032102,negative regulation of response to external stimulus,0.0009928895080645779,393,15,0.06818181818181818,0.03816793893129771
ALL,GO:BP,GO:0030335,positive regulation of cell migration,0.0009928895080645779,544,18,0.08181818181818182,0.03308823529411765
ALL,GO:BP,GO:0010648,negative regulation of cell communication,0.0010784552210259047,1449,33,0.15,0.022774327122153208
ALL,GO:BP,GO:0023057,negative regulation of signaling,0.0010784552210259047,1449,33,0.15,0.022774327122153208
ALL,GO:BP,GO:1901701,cellular response to oxygen-containing compound,0.00111671243231374,1194,29,0.1318181818181818,0.024288107202680067
ALL,GO:BP,GO:0001558,regulation of cell growth,0.0011171968660412905,399,15,0.06818181818181818,0.03759398496240601
ALL,GO:BP,GO:0002009,morphogenesis of an epithelium,0.001164379056100284,501,17,0.07727272727272727,0.033932135728542916
ALL,GO:BP,GO:0120039,plasma membrane bounded cell projection morphogenesis,0.0012141358869746852,664,20,0.09090909090909091,0.030120481927710843
ALL,GO:BP,GO:1901137,carbohydrate derivative biosynthetic process,0.0012141358869746852,556,18,0.08181818181818182,0.03237410071942446
ALL,GO:BP,GO:0048871,multicellular organismal-level homeostasis,0.0012748268393160448,839,23,0.10454545454545454,0.027413587604290822
ALL,GO:BP,GO:0048858,cell projection morphogenesis,0.0013030093166002234,669,20,0.09090909090909091,0.029895366218236172
ALL,GO:BP,GO:0090257,regulation of muscle system process,0.0013219667968625835,226,11,0.05,0.048672566371681415
ALL,GO:BP,GO:0051241,negative regulation of multicellular organismal process,0.0014454708637980358,1091,27,0.12272727272727273,0.02474793767186068
ALL,GO:BP,GO:0061564,axon development,0.0014454708637980358,513,17,0.07727272727272727,0.03313840155945419
ALL,GO:BP,GO:0010544,negative regulation of platelet activation,0.0014524506287671398,18,4,0.01818181818181818,0.2222222222222222
ALL,GO:BP,GO:2000147,positive regulation of cell motility,0.0015873914203677292,571,18,0.08181818181818182,0.03152364273204904
ALL,GO:BP,GO:0006816,calcium ion transport,0.0018222135792197978,421,15,0.06818181818181818,0.035629453681710214
ALL,GO:BP,GO:0040013,negative regulation of locomotion,0.001836347315037866,325,13,0.05909090909090909,0.04
ALL,GO:BP,GO:0044283,small molecule biosynthetic process,0.0018819860429695743,580,18,0.08181818181818182,0.03103448275862069
ALL,GO:BP,GO:0050794,regulation of cellular process,0.0020203715352832266,11962,154,0.7,0.012874101320849356
ALL,GO:BP,GO:0048667,cell morphogenesis involved in neuron differentiation,0.0020203715352832266,584,18,0.08181818181818182,0.030821917808219176
ALL,GO:BP,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,0.002061182262961526,641,19,0.08636363636363636,0.029641185647425898
ALL,GO:BP,GO:0040017,positive regulation of locomotion,0.002061182262961526,586,18,0.08181818181818182,0.030716723549488054
ALL,GO:BP,GO:0007267,cell-cell signaling,0.002092597165658338,1316,30,0.13636363636363635,0.022796352583586626
ALL,GO:BP,GO:0000902,cell morphogenesis,0.0021021051241100186,998,25,0.11363636363636363,0.025050100200400802
ALL,GO:BP,GO:0010565,regulation of ketone metabolic process,0.0023923002619958235,127,8,0.03636363636363636,0.06299212598425197
ALL,GO:BP,GO:1903035,negative regulation of response to wounding,0.002394582249224177,94,7,0.031818181818181815,0.07446808510638298
ALL,GO:BP,GO:0042180,ketone metabolic process,0.0025378666300640194,205,10,0.045454545454545456,0.04878048780487805
ALL,GO:BP,GO:0061041,regulation of wound healing,0.0025952028924277957,129,8,0.03636363636363636,0.06201550387596899
ALL,GO:BP,GO:0009968,negative regulation of signal transduction,0.002774863235883996,1341,30,0.13636363636363635,0.02237136465324385
ALL,GO:BP,GO:0009101,glycoprotein biosynthetic process,0.0031230800852785133,254,11,0.05,0.04330708661417323
ALL,GO:BP,GO:0048729,tissue morphogenesis,0.0032810899230159033,612,18,0.08181818181818182,0.029411764705882353
ALL,GO:BP,GO:0007565,female pregnancy,0.003931587117190365,176,9,0.04090909090909091,0.05113636363636364
ALL,GO:BP,GO:2000146,negative regulation of cell motility,0.00396757095896828,308,12,0.05454545454545454,0.03896103896103896
