query_symbol,matched_symbol,entrez_id,mapping_status,direction
MAP1LC3A,MAP1LC3A,84557,mapped,DOWN
RPL27A,RPL27A,6157,mapped,DOWN
GAS5,GAS5,60674,mapped,DOWN
RPS29,RPS29,6235,mapped,DOWN
RPL15,RPL15,6138,mapped,DOWN
SNHG32,SNHG32,50854,mapped,DOWN
SDC2,SDC2,6383,mapped,DOWN
JMJD7,JMJD7,100137047,mapped,DOWN
IGSF21,IGSF21,84966,mapped,DOWN
VIM,VIM,7431,mapped,DOWN
ADRA2A,ADRA2A,150,mapped,DOWN
ASB13,ASB13,79754,mapped,DOWN
COLEC12,COLEC12,81035,mapped,DOWN
SCCPDH,SCCPDH,51097,mapped,DOWN
PTGR1,PTGR1,22949,mapped,DOWN
DEGS2,DEGS2,123099,mapped,DOWN
MT-CO1,MT-CO1,4512,mapped,DOWN
TARP,TARP,445347,mapped,DOWN
SNHG8,SNHG8,,no_entrez_id,DOWN
SNHG8,SNHG8,100093630,mapped,DOWN
BTG2,BTG2,7832,mapped,DOWN
RPS12,RPS12,6206,mapped,DOWN
RPS3A,RPS3A,6189,mapped,DOWN
EEIG1,EEIG1,399665,mapped,DOWN
RPLP1,RPLP1,6176,mapped,DOWN
SPATA20,SPATA20,64847,mapped,DOWN
MT-CYB,MT-CYB,4519,mapped,DOWN
TRMT61A,TRMT61A,115708,mapped,DOWN
NPY1R,NPY1R,4886,mapped,DOWN
TUBB6,TUBB6,84617,mapped,DOWN
MT-RNR1,MT-RNR1,4549,mapped,DOWN
GOT1,GOT1,2805,mapped,DOWN
SNHG14,SNHG14,,no_entrez_id,DOWN
SNHG14,SNHG14,104472715,mapped,DOWN
CACNG4,CACNG4,27092,mapped,DOWN
RPL37A,RPL37A,6168,mapped,DOWN
RPL32,RPL32,6161,mapped,DOWN
C1ORF226,C1ORF226,400793,mapped,DOWN
FAM117A,FAM117A,81558,mapped,DOWN
GRHPR,GRHPR,9380,mapped,DOWN
TM4SF1,TM4SF1,4071,mapped,DOWN
EIF3F,EIF3F,8665,mapped,DOWN
ZDHHC8,ZDHHC8,29801,mapped,DOWN
RPLP0,RPLP0,6175,mapped,DOWN
NCAM2,NCAM2,4685,mapped,DOWN
BBS1,BBS1,582,mapped,DOWN
TESK2,TESK2,10420,mapped,DOWN
NOB1,NOB1,28987,mapped,DOWN
EIF6,EIF6,3692,mapped,DOWN
RPL13A,RPL13A,23521,mapped,DOWN
RPL7A,RPL7A,6130,mapped,DOWN
ANXA2,ANXA2,302,mapped,DOWN
SARM1,SARM1,23098,mapped,DOWN
CCNB1IP1,CCNB1IP1,57820,mapped,DOWN
IGFBP5,IGFBP5,3488,mapped,DOWN
ALDH4A1,ALDH4A1,8659,mapped,DOWN
MYC,MYC,4609,mapped,DOWN
PDLIM1,PDLIM1,9124,mapped,DOWN
ZNFX1,ZNFX1,57169,mapped,DOWN
MT-CO3,MT-CO3,4514,mapped,DOWN
AFF3,AFF3,3899,mapped,DOWN
IGFBP2,IGFBP2,3485,mapped,DOWN
DHRS2,DHRS2,10202,mapped,DOWN
ATP8B2,ATP8B2,57198,mapped,DOWN
ACAD9,ACAD9,28976,mapped,DOWN
DCTN3,DCTN3,11258,mapped,DOWN
TRAPPC6A,TRAPPC6A,79090,mapped,DOWN
MB,MB,4151,mapped,DOWN
CYP1A1,CYP1A1,1543,mapped,DOWN
OAT,OAT,4942,mapped,DOWN
NRK,NRK,203447,mapped,DOWN
UGT1A6,UGT1A6,54578,mapped,DOWN
OLFM1,OLFM1,10439,mapped,DOWN
GATD1,GATD1,347862,mapped,DOWN
IFT46,IFT46,56912,mapped,DOWN
ALDH3B2,ALDH3B2,222,mapped,DOWN
UAP1L1,UAP1L1,91373,mapped,DOWN
LINC00847,LINC00847,729678,mapped,DOWN
ATG16L2,ATG16L2,89849,mapped,DOWN
RPS13,RPS13,6207,mapped,DOWN
RPS17,RPS17,6218,mapped,DOWN
GPRC5A,GPRC5A,9052,mapped,DOWN
TMEM141,TMEM141,85014,mapped,DOWN
NHERF1,NHERF1,9368,mapped,DOWN
NME2,NME2,4831,mapped,DOWN
AP2M1,AP2M1,1173,mapped,DOWN
CALHM2,CALHM2,51063,mapped,DOWN
RPS21,RPS21,6227,mapped,DOWN
BCL2,BCL2,596,mapped,DOWN
PRKAR1B,PRKAR1B,5575,mapped,DOWN
RBCK1,RBCK1,10616,mapped,DOWN
CARD19,CARD19,84270,mapped,DOWN
EEF1G,EEF1G,1937,mapped,DOWN
BRINP2,BRINP2,57795,mapped,DOWN
COG4,COG4,25839,mapped,DOWN
IGFBP4,IGFBP4,3487,mapped,DOWN
MYL6,MYL6,4637,mapped,DOWN
